word,VERB_lemma,VERB_count,VERB%,PROPN_lemma,PROPN_count,PROPN%,PART_lemma,PART_count,PART%,NUM_lemma,NUM_count,NUM%,X_lemma,X_count,X%,PUNCT_lemma,PUNCT_count,PUNCT%,ADJ_lemma,ADJ_count,ADJ%,ADP_lemma,ADP_count,ADP%,ADV_lemma,ADV_count,ADV%,AUX_lemma,AUX_count,AUX%,CCONJ_lemma,CCONJ_count,CCONJ%,DET_lemma,DET_count,DET%,INTJ_lemma,INTJ_count,INTJ%,NOUN_lemma,NOUN_count,NOUN%,PRON_lemma,PRON_count,PRON%,SCONJ_lemma,SCONJ_count,SCONJ%,CONJ_lemma,CONJ_count,CONJ%,SYM_lemma,SYM_count,SYM%
!,!,6,0.0002508466072996363,!,100,0.004180776788327271,!,3,0.00012542330364981815,,0,0.0,!,5,0.00020903883941636355,!,23626,0.9877503240102011,!,4,0.00016723107153309084,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,!,157,0.006563819557673815,!,18,0.0007525398218989088,,0,0.0,,0,0.0,,0,0.0,,0,0.0
#,#,1,0.002145922746781116,#,25,0.0536480686695279,,0,0.0,#,9,0.019313304721030045,#,31,0.06652360515021459,#,159,0.34120171673819744,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,#,5,0.01072961373390558,#,230,0.49356223175965663,#,3,0.006437768240343348,,0,0.0,,0,0.0,#,3,0.006437768240343348
',',399,0.014458093271007718,',82,0.002971337464217125,',500,0.01811791136717759,',72,0.0026089792368735733,',386,0.013987027575461101,',25250,0.9149545240424684,',130,0.004710656955466174,',12,0.0004348298728122622,',119,0.004312062905388267,',32,0.001159546327499366,',54,0.00195673442765518,,0,0.0,',8,0.0002898865818748415,',473,0.017139544153350002,',62,0.002246621009530021,',18,0.0006522448092183933,,0,0.0,,0,0.0
'calm,'calm,1,1.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
'come,'come,1,1.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
'coz,'coz,1,0.00847457627118644,'Coz,2,0.01694915254237288,,0,0.0,,0,0.0,'coz,1,0.00847457627118644,,0,0.0,,0,0.0,'coz,11,0.09322033898305085,'coz,1,0.00847457627118644,,0,0.0,,0,0.0,,0,0.0,,0,0.0,'coz,15,0.1271186440677966,,0,0.0,'coz,87,0.7372881355932204,,0,0.0,,0,0.0
'doe,'doe,1,1.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
'doin,'doin,1,1.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
'go,'go,1,1.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
'goe,'goe,1,1.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0
