dep_struct,%of_total,count
V_dobj,0.14195572000931178,11586
V,0.13880686621659702,11329
V_prep,0.0949434554075744,7749
nsubj_V_dobj,0.08367129397061887,6829
nsubj_V_ccomp,0.07922369114277662,6466
V_ccomp,0.05802712670154502,4736
nsubj_V,0.057463518629697244,4690
nsubj_V_xcomp,0.04211132484653932,3437
V_dobj_prep,0.04069005231753189,3321
nsubj_V_prep,0.03548280382763395,2896
V_xcomp,0.027482019677273116,2243
nsubj_V_dobj_prep,0.020204124140804,1649
dobj_nsubj_V,0.014126958844358406,1153
V_prt,0.01037773993163189,847
V_prep_prep,0.00947106607692025,773
V_prt_prep,0.007204381440141147,588
V_prt_dobj,0.007155372042589167,584
V_dative_dobj,0.005685090116029749,464
V_dobj_ccomp,0.0055013048752098215,449
V_pobj,0.005452295477657841,445
nsubj_V_dobj_ccomp,0.0046803974662141465,382
ccomp_nsubj_V,0.004631388068662166,378
nsubj_V_prep_prep,0.0044230981290662484,361
V_dobj_xcomp,0.0041290417437543645,337
V_dobj_prt,0.0041167893943663695,336
dobj_nsubj_V_prep,0.004055527647426394,331
prep_nsubj_V_dobj,0.003859490057218472,315
nsubj_V_prt,0.0038349853584424814,313
nsubj_V_dobj_xcomp,0.00371246186456253,303
nsubj_V_prt_prep,0.003540928973130598,289
prep_nsubj_V_ccomp,0.003148853792714753,257
nsubj_V_dative_dobj,0.0030753396963867823,251
ccomp_nsubj_V_ccomp,0.0029895732506708163,244
ccomp_nsubj_V_dobj,0.002952816202506831,241
V_dobj_prep_prep,0.0028547974074028693,233
prep_nsubj_V_xcomp,0.0022789369861670977,186
nsubj_V_prt_dobj,0.0021686658416751412,177
nsubj_V_prt_xcomp,0.0017765906612592964,145
ccomp_nsubj_V_xcomp,0.0017765906612592964,145
nsubj_V_dobj_prt,0.0017520859624833062,143
V_dobj_prt_prep,0.00164181481799135,134
prep_nsubj_V_prep,0.0016050577698273644,131
nsubj_V_dobj_prep_prep,0.001482534275947413,121
nsubj_V_ccomp_ccomp,0.001482534275947413,121
V_dobj_dative,0.0013845154808434517,113
nsubj_V_prep_ccomp,0.0012497396375755051,102
ccomp_nsubj_V_prep,0.0012129825894115196,99
V_prt_ccomp,0.0012007302400235246,98
V_dobj_dobj,0.0012007302400235246,98
V_prt_dobj_prep,0.001078206746143573,88
V_prep_ccomp,0.0009801879510396118,80
V_prt_xcomp,0.0009311785534876312,76
ccomp_V_nsubj,0.0008944215053236458,73
V_prt_prep_prep,0.0008086550596076798,66
V_nsubj,0.0008086550596076798,66
nsubj_V_prt_ccomp,0.0007964027102196846,65
prep_nsubj_V_dobj_prep,0.0007596456620556992,62
prep_V_dobj,0.0007596456620556992,62
prep_nsubj_V,0.0007106362645037186,58
ccomp_nsubj_V_dobj_prep,0.0006493745175637428,53
nsubj_V_dobj_prt_prep,0.0006371221681757477,52
dobj_nsubj_V_xcomp,0.0006126174693997574,50
V_prep_prep_prep,0.0006003651200117623,49
dobj_V,0.0006003651200117623,49
ccomp_V_ccomp,0.0005881127706237671,48
nsubj_V_ccomp_prep,0.0005391033730717865,44
nsubj_V_xcomp_prep,0.0005391033730717865,44
ccomp_V_dobj,0.0005268510236837914,43
nsubj_V_prt_prep_prep,0.0005145986742957962,42
nsubj_V_dobj_dobj,0.0005145986742957962,42
dative_nsubj_V_dobj,0.000502346324907801,41
V_prep_dobj,0.0004900939755198059,40
V_ccomp_ccomp,0.0004778416261318108,39
nsubj_V_prt_dobj_prep,0.0004043275298038399,33
V_dative,0.00039207518041584473,32
