word,VERB_lemma,VERB_count,VERB%,VERB_sents,PROPN_lemma,PROPN_count,PROPN%,PROPN_sents,PART_lemma,PART_count,PART%,PART_sents,NUM_lemma,NUM_count,NUM%,NUM_sents,X_lemma,X_count,X%,X_sents,PUNCT_lemma,PUNCT_count,PUNCT%,PUNCT_sents,ADJ_lemma,ADJ_count,ADJ%,ADJ_sents,ADP_lemma,ADP_count,ADP%,ADP_sents,ADV_lemma,ADV_count,ADV%,ADV_sents,AUX_lemma,AUX_count,AUX%,AUX_sents,CCONJ_lemma,CCONJ_count,CCONJ%,CCONJ_sents,DET_lemma,DET_count,DET%,DET_sents,INTJ_lemma,INTJ_count,INTJ%,INTJ_sents,NOUN_lemma,NOUN_count,NOUN%,NOUN_sents,PRON_lemma,PRON_count,PRON%,PRON_sents,SCONJ_lemma,SCONJ_count,SCONJ%,SCONJ_sents,CONJ_lemma,CONJ_count,CONJ%,CONJ_sents,SYM_lemma,SYM_count,SYM%,SYM_sents
eg,EG,1,0.020833333,,EG,45,0.9375,,,0,0,,,0,0,,eg,1,0.020833333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,eg,1,0.020833333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
distinguish,distinguish,1,0.111111111,,Distinguish,8,0.888888889,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
chip,chip,3,0.090909091,,Chip,26,0.787878788,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,chip,4,0.121212121,,,0,0,,,0,0,,,0,0,,,0,0,
disturbed,disturb,1,0.25,,Disturbed,3,0.75,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
don,don,1,0.25,,Don,3,0.75,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
rings,ring,2,0.25,,Rings,6,0.75,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
yeild,yeild,1,0.25,,Yeild,3,0.75,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
award,award,1,0.090909091,,Award,8,0.727272727,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,award,2,0.181818182,,,0,0,,,0,0,,,0,0,,,0,0,
duno,duno,1,0.1,,duno,7,0.7,,,0,0,,,0,0,,duno,2,0.2,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
st,st,1,0.076923077,,st,9,0.692307692,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,st,3,0.230769231,,,0,0,,,0,0,,,0,0,,,0,0,
