,lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,tokenized sentence,total open class,BERT tag,BERT replacements,entropy,%OPENCLASS,POS PREDICTIONS,ROBERTA REPLACEMENTS
0,interesting,interesting,0.008695652,0.0,1,"he makes $10 an hour, with no union him(4:43:09 pm): that is because he choose to live in a little town and haul trash me (4:43:27 pm): you can live the life you choose, but no one else can me (4:43:28 pm): interesting me (4:43:56 pm): and if there were no farmers, which my whole family is, what would be on your dinner table tonight?",192,19,50,"('he', 'makes', '$', '10', 'an', 'hour', ',', 'with', 'no', 'union', 'him(4:43:09', 'pm', '):', 'that', 'is', 'because', 'he', 'choose', 'to', 'live', 'in', 'a', 'little', 'town', 'and', 'haul', 'trash', 'me', '(', '4:43:27', 'pm', '):', 'you', 'can', 'live', 'the', 'life', 'you', 'choose', ',', 'but', 'no', 'one', 'else', 'can', 'me', '(', '4:43:28', 'pm', '):', 'interesting', 'me', '(', '4:43:56', 'pm', '):', 'and', 'if', 'there', 'were', 'no', 'farmers', ',', 'which', 'my', 'whole', 'family', 'is', ',', 'what', 'would', 'be', 'on', 'your', 'dinner', 'table', 'tonight', '?')",115,VERB,"['hate', 'trash', 'not', 'dump', 'fuck']",0.072016472,1.0,INTJ,"['not', '</s>', 'so', 'no', 'well']"
1,phone,phoned,0.008928571,0.0,1,my friend just phoned to see if i want a girlie night out tomorrow night....,730,2,3,"('my', 'friend', 'just', 'phoned', 'to', 'see', 'if', 'i', 'want', 'a', 'girlie', 'night', 'out', 'tomorrow', 'night', '....')",112,VERB,"['wants', 'called', 'wanted', 'checking', 'calling']",0.073603483,0.98245614,VERB,"['called', 'asked', 'wanted', 'wants', 'came']"
2,party,party,0.012658228,0.0,1,I feel like i should want to party because i'm done with school for a little while,249,12,7,"('I', 'feel', 'like', 'i', 'should', 'want', 'to', 'party', 'because', 'i', ""'m"", 'done', 'with', 'school', 'for', 'a', 'little', 'while')",79,VERB,"[',', 'know', 'go', 'leave', 'stay']",0.097940583,0.963414634,VERB,"['sleep', 'relax', 'rest', 'write', 'leave']"
3,bomb,bomb,0.013333333,0.0,1,Part 2: putting your h-bomb together the heart of the h-bomb is the fusion process.,2,167,7,"('Part', '2', ':', 'putting', 'your', 'h', '-', 'bomb', 'together', 'the', 'heart', 'of', 'the', 'h', '-', 'bomb', 'is', 'the', 'fusion', 'process', '.')",75,NOUN,"['bomb', 'bombs', 'explosives', 'weapons', 'gun']",0.102158036,0.986842105,VERB,"['bomb', 'bombe', 'bomb', 'weapon', 'block']"
4,team,team,0.006289308,0.006289308,1,"As the only other guy to have eaten the caviar, you really let your team down by doing it so much slower than chip.",971,23,15,"('As', 'the', 'only', 'other', 'guy', 'to', 'have', 'eaten', 'the', 'caviar', ',', 'you', 'really', 'let', 'your', 'team', 'down', 'by', 'doing', 'it', 'so', 'much', 'slower', 'than', 'chip', '.')",159,NOUN,"['guard', 'hair', 'defenses', 'pants', 'food']",0.110018442,0.975460123,NOUN,"['guard', 'time', 'mind', 'friend', 'friends']"
5,good,best,0.001331558,0.0,1,"The witty asides are what's best in the script, and this is where most of the drama club sriptwriting skills shine.",945,13,6,"('The', 'witty', 'asides', 'are', 'what', ""'s"", 'best', 'in', 'the', 'script', ',', 'and', 'this', 'is', 'where', 'most', 'of', 'the', 'drama', 'club', 'sriptwriting', 'skills', 'shine', '.')",751,VERB,"['written', 'needed', 'missing', 'best', 'left']",0.116661692,0.956687898,VERB,"['important', 'not', 'needed', 'missing', 'hidden']"
6,stupid,stupid,0.018518519,0.0,1,"you stupid git'); removing all those silly things i'd accumulated that wasted the space on my shelves, space that will be necessary for organising things like references and notebooks and spectra and things-that-i-don't-know-what-they-are-but-i-figure-i'd-better-not-throw-them-away-in-case-they-turn-out-to-be-important.",159,12,1,"('you', 'stupid', 'git', ""'"", ')', ';', 'removing', 'all', 'those', 'silly', 'things', 'i', ""'d"", 'accumulated', 'that', 'wasted', 'the', 'space', 'on', 'my', 'shelves', ',', 'space', 'that', 'will', 'be', 'necessary', 'for', 'organising', 'things', 'like', 'references', 'and', 'notebooks', 'and', 'spectra', 'and', 'things', '-', 'that', '-', 'i', '-', ""don't"", '-', 'know', '-', 'what', '-', 'they', '-', 'are', '-', 'but', '-', 'i', '-', 'figure', '-', ""i'd"", '-', 'better', '-', 'not', '-', 'throw', '-', 'them', '-', 'away', '-', 'in', '-', 'case', '-', 'they', '-', 'turn', '-', 'out', '-', 'to', '-', 'be', '-', 'important', '.')",54,PUNCT,"[""'"", 'can', '-', 'just', 'could']",0.133039649,0.981818182,AUX,"['-', 'can', 'know', 'will', 'could']"
7,fact,fact,0.008928571,0.0,1,"It was, in fact, my first practicum.",508,2,4,"('It', 'was', ',', 'in', 'fact', ',', 'my', 'first', 'practicum', '.')",112,NOUN,"['fact', 'effect', 'part', 'theory', 'essence']",0.147090918,0.957264957,NOUN,"['fact', 'short', 'effect', 'truth', 'sum']"
8,game,game,0.009615385,0.009615385,2,"Reguarding my dreams, it seems that my sunconscious picked up on my distaste for my recent dreams and game me a little treat last night.",254,6,19,"('Reguarding', 'my', 'dreams', ',', 'it', 'seems', 'that', 'my', 'sunconscious', 'picked', 'up', 'on', 'my', 'distaste', 'for', 'my', 'recent', 'dreams', 'and', 'game', 'me', 'a', 'little', 'treat', 'last', 'night', '.')",208,VERB,"['gave', 'offered', 'bought', 'wished', 'brought']",0.156330248,0.976525822,VERB,"['gave', 'offered', 'sent', 'made', 'brought']"
9,game,game,0.009615385,0.009615385,2,After ever game she'd be like 'i'm getting all swetty.',630,7,2,"('After', 'ever', 'game', 'she', ""'d"", 'be', 'like', ""'"", 'i', ""'m"", 'getting', 'all', 'swetty', '.', ""'"")",208,SCONJ,"[',', 'since', 'before', 'thinking...']",0.156330248,0.976525822,ADV,"[',', 'then', 'so', 'since', 'that']"
