lemma,verb form,Sentence,dep set,count of dep set,perc of dep set,entropy,index of verb,Doc index,Sent index,verb count overall
accord,according,I'm developing a habit of virtue according to which I do not feel sorry for myself and my situation and pursuing a vision in which I come out the stronger for it.,NO_DEPS,1,0%,0.04,7,26109,6,532
be,aRe,"tHey aCtually aRe tO me, dEy hAve bEcOme nUtHiNg bUt",prep,1,1%,0.1,2,35754,6,78
m,m,"And she was like, 'You know, l-m-a-o...",dobj,1,1%,0.11,11,20927,26,72
re,re,or I know what you are youre a hustler!,dobj,1,1%,0.14,7,7770,7,115
deal,dealing,"He's only played poker with us twice, but he's always shuffling a deck of cards in school and dealing himself poker hands, and he thinks he's really good.",dobj,1,1%,0.19,21,23908,78,119
depend,depend,"Of course, in this odd post-modern era, there are those who would say there is no objective good and evil, and that what is good and what is evil are all subjective, and depend only one's own  personal preferences .",dobj,1,1%,0.23,39,16046,7,176
lol,lol,lol only one person in this world besides me...knows what that stands for and well if your one of those people that get bugged by not knowing whatsomething means...well there ya go...,prep_dobj,1,0%,0.24,0,17473,0,287
base,basing,"Knowing my luck and basing the possible outcomes on my BIO 103 class, which I took 3 times and still fought for a D+, I decided to drop those and take new classes from those sections.",dobj,2,1%,0.27,4,25784,9,178
base,basing,"He's shown that in order to be taking seriously musically, I have to learn real musicianship instead of basing my practice and skills soley on little tricks I've picked up here and there.",dobj,2,1%,0.27,20,24409,28,178
rid,rid,I do put time aside from my normal everyday life to help rid the society of those who plan to destroy it.,dobj,1,2%,0.35,12,31512,9,56
come_on,Come_on,*pulls hand away rapidly*  Baka:  Come on you big tease.,dobj_dative,1,2%,0.63,10,35197,19,58
come_up,coming_up,Personally i think that doctors should look into coming up w/ a cure for my unfortunate illness that i cannot cure.,prep_dobj,1,2%,0.68,8,17543,7,61
worry,worrying,"its not that i dont feel there should be any repercussions for worrying my dad like that, but thats really harsh.",prep_dobj,2,3%,0.77,13,33006,13,75
worry,worries,She is one who is obsessed about nitty-gritty issues and worries a lot about in life.,prep_dobj,2,3%,0.77,12,35392,7,75
have,has,But what I do want to do is just understand myself a little more and live the life I want to be living and not live it on expectations I have for myself or anyone else has for me.,dative,2,0%,0.81,36,6148,1,2641
have,Had,Had two cups a joe.,dative,2,0%,0.81,0,12779,3,2641
put,put,I'm surprised he didn't take my money and put it in the machine for me.,prep_dobj_dative,5,1%,0.84,10,31500,55,398
put,put,Writing it out helps put some things into perspective for me.,prep_dobj_dative,5,1%,0.84,4,23873,1,398
put,put,i hesitated for a moment then grabbed him and put his bag underneat the chair in front of mine!,prep_dobj_dative,5,1%,0.84,9,37101,6,398
put,put,He made no eye contact unless I cupped my hands around his big beautiful brown eyes and put him face to mine.,prep_dobj_dative,5,1%,0.84,17,508,124,398
put,Put,"from Nietzsche's Daybreak,s. 147, R.J. Hollingdale transl  Me: Put this in plain English for me.",prep_dobj_dative,5,1%,0.84,14,26731,2,398
stare,staring,"Waking, as if nothing, and 'staring' the rest of my day.",dobj,1,1%,0.89,8,34599,44,101
head,headed,When the weather cleared a little we saddled up and headed SE into SC.,prep_dobj,4,4%,0.93,10,33242,52,109
head,headed,"I then headed to my favourite temple in town at Luz, drove past the beach....amazing cool wind was blowing across, but the minute I had a look a the crowd, I just turned and headed ot the club.",prep_dobj,4,4%,0.93,39,8383,39,109
head,headed,We bought the gas and headed down-river in a rented canoe.,prep_dobj,4,4%,0.93,5,12410,195,109
head,headed,"After the boats were through, we crossed over the locks and headed down the path along the Ottawa River.",prep_dobj,4,4%,0.93,12,32792,9,109
tune,Tuning,Tuning my bike's gears.,dobj,2,2%,0.93,0,16405,11,87
tune,tuned,"So, stay tuned true believers - more will be forthcoming.",dobj,2,2%,0.93,3,22680,7,87
compare,compared,"Or should I go with what I have , which now seems like crap compared.",NO_DEPS,1,0%,0.94,14,19877,2,216
experience,experience,It's a cool thing to experience...and you get to meet people!,NO_DEPS,5,9%,0.95,6,13101,61,57
experience,experience,There is so much I want to see and do and experience while I am here.,NO_DEPS,5,9%,0.95,11,17446,25,57
experience,experience,14 years later as i continue to be with her and watch her and experience who she is and how she interacts with the world and with me and with our kids (etc.),NO_DEPS,5,9%,0.95,14,23099,11,57
experience,experience,"I think my problem is that with every trip and experience abroad, I learn of new places I want to see and experience.",NO_DEPS,5,9%,0.95,23,22495,9,57
experience,experience,I think I'm gonna start writing a real diary (journal) again to remember all the cool things that we are going to do and experience...,NO_DEPS,5,9%,0.95,28,23373,10,57
fall,fall,"I don't know but, thanks to Linda Watkins, when I'm 85 and fall down my front stairs, I may not in fact break my hip.",prep_dobj,1,1%,0.96,16,480,25,188
focus,focusing,"He'll give you many helps on focusing yourself, and will always be using his own word's to spark your heart on the eternal truths of the gospel.",dobj,3,3%,0.96,7,16487,5,88
focus,focusing,"From a strategic point of view, this is interesting--basically a signal that the party thinks it has milked all the available support from Labour-leaning voters, and focusing their fire on the Tories.",dobj,3,3%,0.96,32,32406,1,88
focus,focused,"All that said, to return to my original point -- it seems to me that so much more could be accomplished in this country if both Republicans and Democrats spent less time yammering on with all this ideological parlor talk and intellectual posturing, and focused all that mental energy on applying the broad range of available political philosophies to the immediate, tangible social, economic, and international issues that we as a society, a government, and a country would do well to confront.",dobj,3,3%,0.96,46,2057,36,88
sit,sitting,"I proceeded to up my bankroll to $130, which I eventually started sitting on 2 .5/1 tables, and was raking in the dough.",prep_dobj,5,2%,0.99,14,23914,17,218
sit,sat,In the top left corner of my refrigerator door sat the wedges of parmesan.,prep_dobj,5,2%,0.99,9,24659,24,218
sit,sat,"Three of the beds on the far half of the room were occupied, but on her side of the room sat only one person: a human (she did not sense any naquada).",prep_dobj,5,2%,0.99,21,35049,14,218
sit,sitting,Special thanks to my friends at Ca’Brea for sitting my lawyer/agent/advisor and myself at a better table that the movie stars.,prep_dobj,5,2%,0.99,8,8744,46,218
sit,sitting,"Many athletes from NBA, and the Williams sisters declined invitations to participate sitting security concerns as the reason.",prep_dobj,5,2%,0.99,13,8090,11,218
face,faced,You rode in the back of the station wagon and faced the cars behind you.,prep_dobj,1,1%,0.99,10,30887,12,72
grab,grab,"yesterday the boy and i went to best buy to look for the new mates of state cd around 5:30 p.m., and the moment we walked into the store, the power went out and we got thrown out of the store (probably because i yelled 'grab whatever you can, loot, quick!').",NO_DEPS,2,3%,0.99,49,20529,10,65
grab,grabbing,"I reached for him as he reached for me, both of us stripping our bathing suits off, reaching for one another embracing, touching, grabbing...I can still feel the taste of him on my lips, our tongues locking, and searching...Turning him around so that his back is to my chest grabbing his cock, and stroking it our feet skimming the bottom of the pool...Feeling the thrust of his dick in my hand, plunging deeper and deeper into my fist...Cupping one cheek of his ass in my other hand as I reach for his asshole...",NO_DEPS,2,3%,0.99,27,30277,14,65
avoid,avoided,"I don't know what I have done to make me, so suddenly, abhorred and avoided.",NO_DEPS,4,7%,1,17,9772,0,55
avoid,avoid,avoid?,NO_DEPS,4,7%,1,0,12524,20,55
avoid,avoided,"I jumped puddles, avoided maniac",NO_DEPS,4,7%,1,4,21134,6,55
avoid,avoid,Hit me Come on]  CHORUS Let's talk about sex baby Let's talk about you and me  Let's talk about all the good things And the bad things that may be  Let's talk about sex  Let's talk about sex  Let's talk about sex  Let's talk about sex  Let's talk about sex  for now to the people at home or in the crowd It keeps coming up anyhow Don't decoy avoid or make void the topic,NO_DEPS,4,7%,1,86,36131,1,55
wear,Wear,Wear to work?,prep,4,2%,1.02,0,23025,9,182
wear,worn,"Words inscribed in stone,  smooth and worn with age.",prep,4,2%,1.02,8,4042,5,182
wear,worn,So without fanfare (and  only two pictures which have yet to be developed) the socks were mounted to my feet and worn from 1:30 PM until 3:00 AM.,prep,4,2%,1.02,24,19577,11,182
