lemma,word form,sentence,doc index,sent index,token index,tokenized sentence
celebrate,celebrating,I spent memorial day weekend in las vegas celebrating a friends 40th birthday.,21504,1,8,"('I', 'spent', 'memorial', 'day', 'weekend', 'in', 'las', 'vegas', 'celebrating', 'a', 'friends', '40th', 'birthday', '.')"
celebrate,celebrate,(or just a plain great weekend to those that don't celebrate easter)  *,22134,1,12,"('(', 'or', 'just', 'a', 'plain', 'great', 'weekend', 'to', 'those', 'that', 'do', ""n't"", 'celebrate', 'easter', ')', ' ', '*')"
celebrate,celebrated,"I've not updated my blog for a long time, that's because i've been busy, academically and socially, we celebrated stella's birthday on last thursday and it was not bad, ate tim sum buffet and all, actually, imo, of all birthdays i still find mine the most fun lol.",18139,0,24,"('I', ""'ve"", 'not', 'updated', 'my', 'blog', 'for', 'a', 'long', 'time', ',', 'that', ""'s"", 'because', 'i', ""'ve"", 'been', 'busy', ',', 'academically', 'and', 'socially', ',', 'we', 'celebrated', 'stella', ""'s"", 'birthday', 'on', 'last', 'thursday', 'and', 'it', 'was', 'not', 'bad', ',', 'ate', 'tim', 'sum', 'buffet', 'and', 'all', ',', 'actually', ',', 'imo', ',', 'of', 'all', 'birthdays', 'i', 'still', 'find', 'mine', 'the', 'most', 'fun', 'lol', '.')"
celebrate,celebrating,"It was perfect timing for triple h and company, as benoit was down and eugene was celebrating.",13309,9,17,"('It', 'was', 'perfect', 'timing', 'for', 'triple', 'h', 'and', 'company', ',', 'as', 'benoit', 'was', 'down', 'and', 'eugene', 'was', 'celebrating', '.')"
celebrate,celebrate,to celebrate his bdae.,16527,22,1,"('to', 'celebrate', 'his', 'bdae', '.')"
celebrate,celebrating,We will be celebrating out 2yr anniversary on the 11th of june.,30360,1,3,"('We', 'will', 'be', 'celebrating', 'out', '2yr', 'anniversary', 'on', 'the', '11th', 'of', 'june', '.')"
celebrate,celebrate,Will she live long enough to celebrate my impending marriage?,472,5,6,"('Will', 'she', 'live', 'long', 'enough', 'to', 'celebrate', 'my', 'impending', 'marriage', '?')"
celebrate,celebrates,"If you read the quote to the side, well, today celebrates what makes it possible.",24276,1,12,"('If', 'you', 'read', 'the', 'quote', 'to', 'the', 'side', ',', 'well', ',', 'today', 'celebrates', 'what', 'makes', 'it', 'possible', '.')"
celebrate,celebrate,"Having pondered what could be done to celebrate it, something different from just going out to eat, the mushroom had a wonderful idea.",23819,2,7,"('Having', 'pondered', 'what', 'could', 'be', 'done', 'to', 'celebrate', 'it', ',', 'something', 'different', 'from', 'just', 'going', 'out', 'to', 'eat', ',', 'the', 'mushroom', 'had', 'a', 'wonderful', 'idea', '.')"
celebrate,celebrating,"Oh, and yeah... that quote above is from one of thier songs, and it's celebrating eternal life in christ.",24387,33,18,"('Oh', ',', 'and', 'yeah', '...', 'that', 'quote', 'above', 'is', 'from', 'one', 'of', 'thier', 'songs', ',', 'and', 'it', ""'s"", 'celebrating', 'eternal', 'life', 'in', 'christ', '.')"
celebrate,celebrate,"To celebrate the occasion, i thought i would create a poem.",31377,4,1,"('To', 'celebrate', 'the', 'occasion', ',', 'i', 'thought', 'i', 'would', 'create', 'a', 'poem', '.')"
celebrate,celebrated,"May 22:   we celebrated randy's birthday at orchid...restaurant, in la.",15654,39,5,"('May', '22', ':', '  ', 'we', 'celebrated', 'randy', ""'s"", 'birthday', 'at', 'orchid', '...', 'restaurant', ',', 'in', 'la', '.')"
celebrate,celebrate,"And i will celebrate the rising of christ by not rising until at least noon, then eating chocolate shaped like symbols of ancient fertility rites.",34337,5,3,"('And', 'i', 'will', 'celebrate', 'the', 'rising', 'of', 'christ', 'by', 'not', 'rising', 'until', 'at', 'least', 'noon', ',', 'then', 'eating', 'chocolate', 'shaped', 'like', 'symbols', 'of', 'ancient', 'fertility', 'rites', '.')"
celebrate,celebrate,"'i cannot get tired, because when i celebrate holy mass i am not standing, but hanging on the cross together with jesus, and i suffer inadequately all that jesus suffered on the cross, as much as is possible for a human creature...'st.",33058,3,10,"(""'"", 'i', 'can', 'not', 'get', 'tired', ',', 'because', 'when', 'i', 'celebrate', 'holy', 'mass', 'i', 'am', 'not', 'standing', ',', 'but', 'hanging', 'on', 'the', 'cross', 'together', 'with', 'jesus', ',', 'and', 'i', 'suffer', 'inadequately', 'all', 'that', 'jesus', 'suffered', 'on', 'the', 'cross', ',', 'as', 'much', 'as', 'is', 'possible', 'for', 'a', 'human', 'creature', '...', ""'st"", '.')"
celebrate,celebrating,"Far from being a punishment for impurity, this was a time of rejoicing and celebrating life; as leah puts it, 'in the red tent, the truth is known.",6294,26,15,"('Far', 'from', 'being', 'a', 'punishment', 'for', 'impurity', ',', 'this', 'was', 'a', 'time', 'of', 'rejoicing', 'and', 'celebrating', 'life', ';', 'as', 'leah', 'puts', 'it', ',', ""'"", 'in', 'the', 'red', 'tent', ',', 'the', 'truth', 'is', 'known', '.')"
celebrate,celebrate,A great way to celebrate the new life we have in christ.,17235,16,4,"('A', 'great', 'way', 'to', 'celebrate', 'the', 'new', 'life', 'we', 'have', 'in', 'christ', '.')"
celebrate,celebrate,How then did i celebrate my entry into my 23rd year of life?,15693,7,4,"('How', 'then', 'did', 'i', 'celebrate', 'my', 'entry', 'into', 'my', '23rd', 'year', 'of', 'life', '?')"
celebrate,Celebrating,Celebrating may day at the ren faire was very nice.,23814,0,0,"('Celebrating', 'may', 'day', 'at', 'the', 'ren', 'faire', 'was', 'very', 'nice', '.')"
celebrate,celebrated,urllink michael moore  celebrated independence day by launching a  urllink blog .,1298,0,4,"('urllink', 'michael', 'moore', ' ', 'celebrated', 'independence', 'day', 'by', 'launching', 'a', ' ', 'urllink', 'blog', '.')"
celebrate,celebrating,"They say, friends come and go... but the fact that we stayed with each other for so long... is worth celebrating.",19792,5,23,"('They', 'say', ',', 'friends', 'come', 'and', 'go', '...', 'but', 'the', 'fact', 'that', 'we', 'stayed', 'with', 'each', 'other', 'for', 'so', 'long', '...', 'is', 'worth', 'celebrating', '.')"
celebrate,celebrated,"we finally got around to talking about our bday bash which is to be held in two weeks, but ended up reminiscing about our bday's over the years and how we celebrated and what our friends did for their bday's, or rather, i should say trying to reminisce cuz neither of us could remember anything about any of their or our celebrations.",24020,5,33,"('we', 'finally', 'got', 'around', 'to', 'talking', 'about', 'our', 'bday', 'bash', 'which', 'is', 'to', 'be', 'held', 'in', 'two', 'weeks', ',', 'but', 'ended', 'up', 'reminiscing', 'about', 'our', 'bday', ""'s"", 'over', 'the', 'years', 'and', 'how', 'we', 'celebrated', 'and', 'what', 'our', 'friends', 'did', 'for', 'their', 'bday', ""'s"", ',', 'or', 'rather', ',', 'i', 'should', 'say', 'trying', 'to', 'reminisce', 'cuz', 'neither', 'of', 'us', 'could', 'remember', 'anything', 'about', 'any', 'of', 'their', 'or', 'our', 'celebrations', '.')"
celebrate,celebrate,"It amazes me that i can start a day in my own house, travel through 2 different states, celebrate/chill/eat in a third state and retrace my steps so i can crawl back into bed with my f at the end of day.",29840,4,20,"('It', 'amazes', 'me', 'that', 'i', 'can', 'start', 'a', 'day', 'in', 'my', 'own', 'house', ',', 'travel', 'through', '2', 'different', 'states', ',', 'celebrate', '/', 'chill', '/', 'eat', 'in', 'a', 'third', 'state', 'and', 'retrace', 'my', 'steps', 'so', 'i', 'can', 'crawl', 'back', 'into', 'bed', 'with', 'my', 'f', 'at', 'the', 'end', 'of', 'day', '.')"
celebrate,celebrate,"Nancy ann (patterson) knowles corrected her son: we don't celebrate lent, honey.",12686,9,13,"('Nancy', 'ann', '(', 'patterson', ')', 'knowles', 'corrected', 'her', 'son', ':', 'we', 'do', ""n't"", 'celebrate', 'lent', ',', 'honey', '.')"
celebrate,celebrate,"Last night we went out drinking to 1) celebrate the dysfuntion of my team, and 2) celebrate the fact that a friend of mine graduated from the port authority police academy.",7215,1,9,"('Last', 'night', 'we', 'went', 'out', 'drinking', 'to', '1', ')', 'celebrate', 'the', 'dysfuntion', 'of', 'my', 'team', ',', 'and', '2', ')', 'celebrate', 'the', 'fact', 'that', 'a', 'friend', 'of', 'mine', 'graduated', 'from', 'the', 'port', 'authority', 'police', 'academy', '.')"
celebrate,celebrate,"On at least one day each year, americans still celebrate revolution.'",22740,4,10,"('On', 'at', 'least', 'one', 'day', 'each', 'year', ',', 'americans', 'still', 'celebrate', 'revolution', '.', ""'"")"
celebrate,celebrated,We celebrated father's day as well.,34635,21,1,"('We', 'celebrated', 'father', ""'s"", 'day', 'as', 'well', '.')"
celebrate,celebrating,We are celebrating our year and a half together.,4749,10,2,"('We', 'are', 'celebrating', 'our', 'year', 'and', 'a', 'half', 'together', '.')"
celebrate,celebrating,"Today is bastille day in france, a day of celebrating the end of monarchal rule.",548,3,10,"('Today', 'is', 'bastille', 'day', 'in', 'france', ',', 'a', 'day', 'of', 'celebrating', 'the', 'end', 'of', 'monarchal', 'rule', '.')"
celebrate,celebrate,Lots to celebrate!,33005,6,2,"('Lots', 'to', 'celebrate', '!')"
celebrate,Celebrate,"Celebrate your loved one's life through happy memories, not a lawsuit.",7320,4,0,"('Celebrate', 'your', 'loved', 'one', ""'s"", 'life', 'through', 'happy', 'memories', ',', 'not', 'a', 'lawsuit', '.')"
celebrate,celebrating,Shout out to the irish who are celebrating their patron saint today :),12114,3,7,"('Shout', 'out', 'to', 'the', 'irish', 'who', 'are', 'celebrating', 'their', 'patron', 'saint', 'today', ':)')"
celebrate,Celebrate,Celebrate!,28130,6,0,"('Celebrate', '!')"
celebrate,celebrating,"The guitar, the crashing drums, as i walked towards my little car i felt like the whole world was celebrating my financial freedom from the bank.",26496,23,21,"('The', 'guitar', ',', 'the', 'crashing', 'drums', ',', 'as', 'i', 'walked', 'towards', 'my', 'little', 'car', 'i', 'felt', 'like', 'the', 'whole', 'world', 'was', 'celebrating', 'my', 'financial', 'freedom', 'from', 'the', 'bank', '.')"
celebrate,celebrate,'kinky creative bisexual voluptuous muscular female seeks spiritual erotic yoga sex with beautiful sensual male'   'sacrifice work and just love'   'bow down to sex goddess'   'earth chick is very nice to chocolate body'   'revere mother earth'   'make eternal love'   'i celebrate unique friends'   'hurricane diva with taboo appetite for cliche' affair'  'war is odd',21466,2,59,"(""'"", 'kinky', 'creative', 'bisexual', 'voluptuous', 'muscular', 'female', 'seeks', 'spiritual', 'erotic', 'yoga', 'sex', 'with', 'beautiful', 'sensual', 'male', ""'"", '  ', ""'"", 'sacrifice', 'work', 'and', 'just', 'love', ""'"", '  ', ""'"", 'bow', 'down', 'to', 'sex', 'goddess', ""'"", '  ', ""'"", 'earth', 'chick', 'is', 'very', 'nice', 'to', 'chocolate', 'body', ""'"", '  ', ""'"", 'revere', 'mother', 'earth', ""'"", '  ', ""'"", 'make', 'eternal', 'love', ""'"", '  ', ""'"", 'i', 'celebrate', 'unique', 'friends', ""'"", '  ', ""'"", 'hurricane', 'diva', 'with', 'taboo', 'appetite', 'for', 'cliche', ""'"", 'affair', ""'"", ' ', ""'"", 'war', 'is', 'odd', ""'"")"
celebrate,celebrated,The gospel was so explicitly stated and celebrated in every single element of the night...,24335,20,7,"('The', 'gospel', 'was', 'so', 'explicitly', 'stated', 'and', 'celebrated', 'in', 'every', 'single', 'element', 'of', 'the', 'night', '...')"
celebrate,celebrate,on may 6. each year we celebrate his birthday --  but its his life that i celebrate.,12738,26,7,"('on', 'may', '6', '.', 'each', 'year', 'we', 'celebrate', 'his', 'birthday', '--', ' ', 'but', 'its', 'his', 'life', 'that', 'i', 'celebrate', '.')"
celebrate,celebrating,Because we are celebrating my uncle and my sis b'dae party.....,25438,14,3,"('Because', 'we', 'are', 'celebrating', 'my', 'uncle', 'and', 'my', 'sis', ""b'dae"", 'party', '.....')"
celebrate,celebrate,'do you think you could quicken the pace on this?'---my boss to me regarding the project i am currently building   'absolutly forbidden'---upper mgmt regarding beer to celebrate someone's new job (@ another company....lol)  'ahhh popsicle stick ninja stars!!!'---me to drew as he chucked one at me down the hall  'you can use this to hit tony with'---as,35804,0,29,"(""'"", 'do', 'you', 'think', 'you', 'could', 'quicken', 'the', 'pace', 'on', ""this?'---my"", 'boss', 'to', 'me', 'regarding', 'the', 'project', 'i', 'am', 'currently', 'building', '  ', ""'"", 'absolutly', ""forbidden'---upper"", 'mgmt', 'regarding', 'beer', 'to', 'celebrate', 'someone', ""'s"", 'new', 'job', '(', '@', 'another', 'company', '....', 'lol', ')', ' ', ""'"", 'ahhh', 'popsicle', 'stick', 'ninja', ""stars!!!'---me"", 'to', 'drew', 'as', 'he', 'chucked', 'one', 'at', 'me', 'down', 'the', 'hall', ' ', ""'"", 'you', 'can', 'use', 'this', 'to', 'hit', 'tony', ""with'---as"")"
celebrate,celebrate,People involved in demonstrating god's love and then getting together for a chance to celebrate and worship in community.,17262,8,15,"('People', 'involved', 'in', 'demonstrating', 'god', ""'s"", 'love', 'and', 'then', 'getting', 'together', 'for', 'a', 'chance', 'to', 'celebrate', 'and', 'worship', 'in', 'community', '.')"
celebrate,celebrate,"We are selfish, we are opportunistic, we never feel happy inthe happiness of others, we never celebrate otherssuccess and most importantly, we have doublestandards.",8328,16,19,"('We', 'are', 'selfish', ',', 'we', 'are', 'opportunistic', ',', 'we', 'never', 'feel', 'happy', 'inthe', 'happiness', 'of', 'others', ',', 'we', 'never', 'celebrate', 'otherssuccess', 'and', 'most', 'importantly', ',', 'we', 'have', 'doublestandards', '.')"
celebrate,celebrating,"Kinda like celebrating the fourth of july, only you aren't celebrating the fourth of july - you celebrate independence day, which falls on july 4.",15286,3,12,"('Kinda', 'like', 'celebrating', 'the', 'fourth', 'of', 'july', ',', 'only', 'you', 'are', ""n't"", 'celebrating', 'the', 'fourth', 'of', 'july', '-', 'you', 'celebrate', 'independence', 'day', ',', 'which', 'falls', 'on', 'july', '4', '.')"
celebrate,celebrate,You celebrate survival and give me tips on how to deal with the heathen monkey.,27893,1,1,"('You', 'celebrate', 'survival', 'and', 'give', 'me', 'tips', 'on', 'how', 'to', 'deal', 'with', 'the', 'heathen', 'monkey', '.')"
celebrate,celebrate,"If so, i'm truly regretful of my desire for an article of clothing that would celebrate that day.",23167,21,17,"('If', 'so', ',', 'i', ""'m"", 'truly', 'regretful', 'of', 'my', 'desire', 'for', 'an', 'article', 'of', 'clothing', 'that', 'would', 'celebrate', 'that', 'day', '.')"
celebrate,Celebrate,Celebrate every day and recognize the beauty its everything i wish i could be.,10876,5,0,"('Celebrate', 'every', 'day', 'and', 'recognize', 'the', 'beauty', 'its', 'everything', 'i', 'wish', 'i', 'could', 'be', '.')"
