,lemma,word form,sentence,doc index,sent index,token index,tokenized sentence
0,graduate,graduate,i really really need to get crackin' on my classes to make sure im good to graduate.,37034,3,18,"('i', 'really', 'really', 'need', 'to', 'get', 'crackin', ""'"", 'on', 'my', 'classes', 'to', 'make', 'sure', 'i', 'm', 'good', 'to', 'graduate', '.')"
1,graduate,graduates,"But he graduates in two days, so I guess that is the end of that.",21079,11,2,"('But', 'he', 'graduates', 'in', 'two', 'days', ',', 'so', 'I', 'guess', 'that', 'is', 'the', 'end', 'of', 'that', '.')"
2,graduate,graduated,(Come on though---I just graduated!),8085,17,7,"('(', 'Come', 'on', 'though', '---', 'I', 'just', 'graduated', '!', ')')"
3,graduate,graduated,"after i graduated, i continued to keep in touch with him for awhile, and now that i think about it maybe he had some big  dead poets society  hopes for me, as he was always pushing grad school and the writing life, and i guess i've gone and ruined that for him, becoming a corporate whoremonger who spreads her legs for any advertiser over $300K at the bidding of her boss' boss' boss' boss.",20623,22,2,"('after', 'i', 'graduated', ',', 'i', 'continued', 'to', 'keep', 'in', 'touch', 'with', 'him', 'for', 'awhile', ',', 'and', 'now', 'that', 'i', 'think', 'about', 'it', 'maybe', 'he', 'had', 'some', 'big', ' ', 'dead', 'poets', 'society', ' ', 'hopes', 'for', 'me', ',', 'as', 'he', 'was', 'always', 'pushing', 'grad', 'school', 'and', 'the', 'writing', 'life', ',', 'and', 'i', 'guess', 'i', ""'ve"", 'gone', 'and', 'ruined', 'that', 'for', 'him', ',', 'becoming', 'a', 'corporate', 'whoremonger', 'who', 'spreads', 'her', 'legs', 'for', 'any', 'advertiser', 'over', '$', '300', 'K', 'at', 'the', 'bidding', 'of', 'her', 'boss', ""'"", 'boss', ""'"", 'boss', ""'"", 'boss', '.')"
4,graduate,graduate,Because it's almost exactly a year til I graduate.,21043,62,9,"('Because', 'it', ""'s"", 'almost', 'exactly', 'a', 'year', 'til', 'I', 'graduate', '.')"
5,graduate,graduate,"I pass everything, but stats, which I needed to graduate and only failed by a couple of marks.",29073,6,11,"('I', 'pass', 'everything', ',', 'but', 'stats', ',', 'which', 'I', 'needed', 'to', 'graduate', 'and', 'only', 'failed', 'by', 'a', 'couple', 'of', 'marks', '.')"
6,graduate,graduated,"But this saint promised me the last time I met him, that he would come to party with me in Philadelphia, the day he graduated.",26265,23,26,"('But', 'this', 'saint', 'promised', 'me', 'the', 'last', 'time', 'I', 'met', 'him', ',', 'that', 'he', 'would', 'come', 'to', 'party', 'with', 'me', 'in', 'Philadelphia', ',', 'the', 'day', 'he', 'graduated', '.')"
7,graduate,graduating,I was doing well in school and was close to graduating and was progressing with my life.,20159,15,10,"('I', 'was', 'doing', 'well', 'in', 'school', 'and', 'was', 'close', 'to', 'graduating', 'and', 'was', 'progressing', 'with', 'my', 'life', '.')"
8,graduate,graduated,"I was a bit of a slacker in high school and university, yet I graduated with a Bachelor of Science in Computer Science.",35042,6,15,"('I', 'was', 'a', 'bit', 'of', 'a', 'slacker', 'in', 'high', 'school', 'and', 'university', ',', 'yet', 'I', 'graduated', 'with', 'a', 'Bachelor', 'of', 'Science', 'in', 'Computer', 'Science', '.')"
9,graduate,graduate,"If you need him to be somewhere to watch you graduate, leave the country, or just have coffee, he?ll be there.",15596,7,10,"('If', 'you', 'need', 'him', 'to', 'be', 'somewhere', 'to', 'watch', 'you', 'graduate', ',', 'leave', 'the', 'country', ',', 'or', 'just', 'have', 'coffee', ',', 'he', '\x92ll', 'be', 'there', '.')"
