lemma,word form,sentence,doc index,sent index,token index,tokenized sentence
graduate,graduate,i really really need to get crackin' on my classes to make sure im good to graduate.,37034,3,18,"('i', 'really', 'really', 'need', 'to', 'get', 'crackin', ""'"", 'on', 'my', 'classes', 'to', 'make', 'sure', 'i', 'm', 'good', 'to', 'graduate', '.')"
graduate,graduates,"But he graduates in two days, so I guess that is the end of that.",21079,11,2,"('But', 'he', 'graduates', 'in', 'two', 'days', ',', 'so', 'I', 'guess', 'that', 'is', 'the', 'end', 'of', 'that', '.')"
graduate,graduated,(Come on though---I just graduated!),8085,17,7,"('(', 'Come', 'on', 'though', '---', 'I', 'just', 'graduated', '!', ')')"
graduate,graduated,"after i graduated, i continued to keep in touch with him for awhile, and now that i think about it maybe he had some big  dead poets society  hopes for me, as he was always pushing grad school and the writing life, and i guess i've gone and ruined that for him, becoming a corporate whoremonger who spreads her legs for any advertiser over $300K at the bidding of her boss' boss' boss' boss.",20623,22,2,"('after', 'i', 'graduated', ',', 'i', 'continued', 'to', 'keep', 'in', 'touch', 'with', 'him', 'for', 'awhile', ',', 'and', 'now', 'that', 'i', 'think', 'about', 'it', 'maybe', 'he', 'had', 'some', 'big', ' ', 'dead', 'poets', 'society', ' ', 'hopes', 'for', 'me', ',', 'as', 'he', 'was', 'always', 'pushing', 'grad', 'school', 'and', 'the', 'writing', 'life', ',', 'and', 'i', 'guess', 'i', ""'ve"", 'gone', 'and', 'ruined', 'that', 'for', 'him', ',', 'becoming', 'a', 'corporate', 'whoremonger', 'who', 'spreads', 'her', 'legs', 'for', 'any', 'advertiser', 'over', '$', '300', 'K', 'at', 'the', 'bidding', 'of', 'her', 'boss', ""'"", 'boss', ""'"", 'boss', ""'"", 'boss', '.')"
graduate,graduate,Because it's almost exactly a year til I graduate.,21043,62,9,"('Because', 'it', ""'s"", 'almost', 'exactly', 'a', 'year', 'til', 'I', 'graduate', '.')"
graduate,graduate,"I pass everything, but stats, which I needed to graduate and only failed by a couple of marks.",29073,6,11,"('I', 'pass', 'everything', ',', 'but', 'stats', ',', 'which', 'I', 'needed', 'to', 'graduate', 'and', 'only', 'failed', 'by', 'a', 'couple', 'of', 'marks', '.')"
graduate,graduated,"But this saint promised me the last time I met him, that he would come to party with me in Philadelphia, the day he graduated.",26265,23,26,"('But', 'this', 'saint', 'promised', 'me', 'the', 'last', 'time', 'I', 'met', 'him', ',', 'that', 'he', 'would', 'come', 'to', 'party', 'with', 'me', 'in', 'Philadelphia', ',', 'the', 'day', 'he', 'graduated', '.')"
graduate,graduating,I was doing well in school and was close to graduating and was progressing with my life.,20159,15,10,"('I', 'was', 'doing', 'well', 'in', 'school', 'and', 'was', 'close', 'to', 'graduating', 'and', 'was', 'progressing', 'with', 'my', 'life', '.')"
graduate,graduated,"I was a bit of a slacker in high school and university, yet I graduated with a Bachelor of Science in Computer Science.",35042,6,15,"('I', 'was', 'a', 'bit', 'of', 'a', 'slacker', 'in', 'high', 'school', 'and', 'university', ',', 'yet', 'I', 'graduated', 'with', 'a', 'Bachelor', 'of', 'Science', 'in', 'Computer', 'Science', '.')"
graduate,graduate,"If you need him to be somewhere to watch you graduate, leave the country, or just have coffee, he’ll be there.",15596,7,10,"('If', 'you', 'need', 'him', 'to', 'be', 'somewhere', 'to', 'watch', 'you', 'graduate', ',', 'leave', 'the', 'country', ',', 'or', 'just', 'have', 'coffee', ',', 'he', '’ll', 'be', 'there', '.')"
graduate,graduate,"All of you will graduate high school and go to college and live great lives, and I hope to always keep in touch with all of you.",20889,170,4,"('All', 'of', 'you', 'will', 'graduate', 'high', 'school', 'and', 'go', 'to', 'college', 'and', 'live', 'great', 'lives', ',', 'and', 'I', 'hope', 'to', 'always', 'keep', 'in', 'touch', 'with', 'all', 'of', 'you', '.')"
graduate,graduated,Call friend who just graduated.,13332,57,4,"('Call', 'friend', 'who', 'just', 'graduated', '.')"
graduate,graduate,"I want to graduate high school and travel so badly in this life, and nothing in this world will stop me.",21332,9,3,"('I', 'want', 'to', 'graduate', 'high', 'school', 'and', 'travel', 'so', 'badly', 'in', 'this', 'life', ',', 'and', 'nothing', 'in', 'this', 'world', 'will', 'stop', 'me', '.')"
graduate,graduating,I would've never guessed that I would leave here with the possibility of graduating on time.,20719,8,14,"('I', 'would', ""'ve"", 'never', 'guessed', 'that', 'I', 'would', 'leave', 'here', 'with', 'the', 'possibility', 'of', 'graduating', 'on', 'time', '.')"
graduate,graduated,I have already graduated from petty crashes and minor damages.,15816,5,3,"('I', 'have', 'already', 'graduated', 'from', 'petty', 'crashes', 'and', 'minor', 'damages', '.')"
graduate,graduate,cuz like i still have the camry till i graduate.,37008,12,9,"('cuz', 'like', 'i', 'still', 'have', 'the', 'camry', 'till', 'i', 'graduate', '.')"
graduate,graduating,"I was talking to her, and found out she is graduating in December, and from there working at her mother-in-law's salon.",354,15,11,"('I', 'was', 'talking', 'to', 'her', ',', 'and', 'found', 'out', 'she', 'is', 'graduating', 'in', 'December', ',', 'and', 'from', 'there', 'working', 'at', 'her', 'mother', '-', 'in', '-', 'law', ""'s"", 'salon', '.')"
graduate,graduated,"Well, afterall, I don't wanna ask my family for so much, especially I've graduated for more than a year now.",34673,48,18,"('Well', ',', 'afterall', ',', 'I', 'do', ""n't"", 'wanna', 'ask', 'my', 'family', 'for', 'so', 'much', ',', 'especially', 'I', ""'ve"", 'graduated', 'for', 'more', 'than', 'a', 'year', 'now', '.')"
graduate,graduating,I decided to leave the Catholic church two weeks after graduating highschool.,32150,10,10,"('I', 'decided', 'to', 'leave', 'the', 'Catholic', 'church', 'two', 'weeks', 'after', 'graduating', 'highschool', '.')"
