,word,VERB_count,VERB%,PROPN_count,PROPN%,NOUN_count,NOUN%,ADJ_count,ADJ%,open class pos / total,total open class,Entropy
0,have,62038,0.9997904949154728,0,0.0,13,0.0002095050845272,0,0.0,0.6269360949734781,62051.0,0.0028625247513174796
1,be,16589,0.9850365180214952,0,0.0,252,0.0149634819785048,0,0.0,0.0441925884717724,16841.0,0.11214018238219553
2,find,10276,0.9970890743256356,0,0.0,30,0.0029109256743644,0,0.0,1.0,10306.0,0.028715989209204974
3,page,11,0.0078180525941719,7,0.0049751243781094,1389,0.9872068230277186,0,0.0,0.9957537154989384,1407.0,0.11112137506342128
4,mb,1,0.0108695652173913,22,0.2391304347826087,69,0.75,0,0.0,0.9484536082474226,92.0,0.8757827916253367
5,file,150,0.2546689303904924,0,0.0,439,0.7453310696095077,0,0.0,0.9966159052453468,589.0,0.8185946838637299
6,now,3,0.375,3,0.375,2,0.25,0,0.0,0.0003960788196851,8.0,1.561278124459133
7,wait,4429,0.968087431693989,4,0.0008743169398907,137,0.0299453551912568,5,0.0010928961748633,0.998254418503164,4575.0,0.2165008435101126
8,team,25,0.0144175317185697,5,0.0028835063437139,1704,0.9826989619377162,0,0.0,0.9994236311239192,1734.0,0.13725194441927838
9,process,60,0.0648648648648648,0,0.0,865,0.9351351351351352,0,0.0,1.0,925.0,0.3464612800308677
10,it,1,0.0555555555555555,2,0.1111111111111111,15,0.8333333333333334,0,0.0,0.0001470600250002,18.0,0.8030717273241025
11,learn,2951,0.9876171352074966,0,0.0,36,0.0120481927710843,1,0.000334672021419,0.9993311036789296,2988.0,0.09842511074044993
12,member,1,0.0009267840593141,2,0.0018535681186283,1076,0.9972196478220574,0,0.0,1.0,1079.0,0.030165431127565118
13,urllink,2110,0.1475318137323451,2262,0.1581596979443434,5831,0.4077052160536988,4099,0.2866032722696126,0.6524932706784069,14302.0,1.8725556656110134
14,mail,218,0.1874462596732588,7,0.0060189165950128,938,0.8065348237317282,0,0.0,1.0,1163.0,0.7473445433002206
15,how,3,0.2142857142857142,0,0.0,11,0.7857142857142857,0,0.0,0.000814711359404,14.0,0.74959525725948
16,build,924,0.9575129533678756,0,0.0,41,0.0424870466321243,0,0.0,0.9958720330237358,965.0,0.2535812498157758
17,bomb,47,0.1492063492063492,1,0.0031746031746031,267,0.8476190476190476,0,0.0,0.9936908517350158,315.0,0.6380286857224349
18,andrew,5,0.0087565674255691,563,0.9859894921190894,3,0.0052539404553415,0,0.0,0.9878892733564014,571.0,0.11971029074328136
19,scott,3,0.0098684210526315,299,0.9835526315789472,2,0.006578947368421,0,0.0,0.9934640522875816,304.0,0.13696899999820106
20,subject,56,0.0677966101694915,5,0.0060532687651331,704,0.8523002421307506,61,0.0738498789346246,1.0,826.0,0.7819636454852371
21,date,474,0.3013350286077559,5,0.0031786395422759,1091,0.6935791481246026,3,0.0019071837253655,0.9949399114484504,1573.0,0.9312007084777143
22, ,4,0.1666666666666666,0,0.0,20,0.8333333333333334,0,0.0,0.0004508820379868,24.0,0.6500224216483541
23,seem,5903,0.9994920419911952,0,0.0,1,0.0001693193362682,2,0.0003386386725364,0.999830709327916,5906.0,0.006757684154613682
24,',73,0.1725768321513002,122,0.2884160756501182,226,0.5342789598108747,2,0.0047281323877068,0.0051145019708364,423.0,1.4744722609527021
25,format,35,0.1988636363636363,0,0.0,140,0.7954545454545454,1,0.0056818181818181,1.0,176.0,0.768383164288609
26,corrupted,1,0.1,0,0.0,0,0.0,9,0.9,1.0,10.0,0.46899559358928117
27,add,1832,0.9870689655172412,0,0.0,24,0.0129310344827586,0,0.0,0.9973132724341752,1856.0,0.09965101678117724
28,text,14,0.0403458213256484,3,0.0086455331412103,330,0.9510086455331412,0,0.0,1.0,347.0,0.3150333882782922
29,examine,100,0.99009900990099,0,0.0,1,0.0099009900990099,0,0.0,1.0,101.0,0.08013604733127526
30,like,8497,0.946108451174702,3,0.0003340385257766,91,0.010132501948558,390,0.0434250083509631,0.2408033033033033,8981.0,0.34311171555643777
31,miss,3764,0.95630081300813,44,0.0111788617886178,81,0.0205792682926829,47,0.0119410569105691,0.9867134620205564,3936.0,0.3256973932983972
32,if,1,0.0714285714285714,0,0.0,13,0.9285714285714286,0,0.0,0.0005366863451659,14.0,0.3712323266408757
33,full,2,0.00092980009298,0,0.0,2,0.00092980009298,2147,0.99814039981404,0.9885110294117648,2151.0,0.021407986239059918
34,please,130,0.8904109589041096,1,0.0068493150684931,7,0.047945205479452,8,0.0547945205479452,0.0627417275461968,146.0,0.6380485304683576
35,distribute,97,0.9797979797979798,0,0.0,2,0.0202020202020202,0,0.0,1.0,99.0,0.1425733302598987
36,convert,110,0.9243697478991596,0,0.0,9,0.0756302521008403,0,0.0,1.0,119.0,0.38659176750379753
37,do,33189,0.9959189797449364,9,0.0002700675168792,64,0.00192048012003,63,0.0018904726181545,0.3928584059320735,33325.0,0.04351132197703463
38,spell,354,0.718052738336714,1,0.0020283975659229,138,0.2799188640973631,0,0.0,0.9919517102615694,493.0,0.8754463926359878
39,checking,2,0.0625,0,0.0,30,0.9375,0,0.0,1.0,32.0,0.3372900666170139
40,edit,268,0.7362637362637363,0,0.0,96,0.2637362637362637,0,0.0,0.9680851063829788,364.0,0.8323322690121193
41,steal,650,0.975975975975976,0,0.0,14,0.021021021021021,2,0.003003003003003,0.9955156950672646,666.0,0.17653255768074055
42,reformatte,9,1.0,0,0.0,0,0.0,0,0.0,1.0,9.0,0.0
43,validate,33,1.0,0,0.0,0,0.0,0,0.0,1.0,33.0,0.0
44,making,16,0.1509433962264151,0,0.0,90,0.8490566037735849,0,0.0,1.0,106.0,0.6121961274908339
45,own,680,0.1383801383801383,2,0.0004070004070004,0,0.0,4232,0.8612128612128612,0.999593165174939,4914.0,0.5850642684020114
46,kind,1,0.0003756574004507,9,0.003380916604057,2417,0.9079639368895568,235,0.0882794891059353,0.6439283986453798,2662.0,0.4676344291744129
