lemma,word form,sentence,doc index,sent index,token index,tokenized sentence
eat,eat,"i stopped in this town for several hours to blog, mail stuff & get something to eat.",27195,0,17,"('i', 'stopped', 'in', 'this', 'town', 'for', 'several', 'hours', 'to', 'blog', ',', 'mail', 'stuff', '&', 'get', 'something', 'to', 'eat', '.')"
eat,eat,"We're picky about the food we eat, the grades we get (and don't get), our jobs, etc...",24260,5,7,"('We', ""'re"", 'picky', 'about', 'the', 'food', 'we', 'eat', ',', 'the', 'grades', 'we', 'get', '(', 'and', 'do', ""n't"", 'get', ')', ',', 'our', 'jobs', ',', 'etc', '...')"
eat,eating,"I'm getting the walking part, but i need to stop eating crap.",36486,2,12,"('I', ""'m"", 'getting', 'the', 'walking', 'part', ',', 'but', 'i', 'need', 'to', 'stop', 'eating', 'crap', '.')"
eat,eat,I eat the chicken piece by piece but chew quickly.,37345,63,1,"('I', 'eat', 'the', 'chicken', 'piece', 'by', 'piece', 'but', 'chew', 'quickly', '.')"
eat,eating,Oh!  going to chinatown and eating egg tarts with the lovely  urllink meredi .,34329,68,7,"('Oh', '!', ' ', 'going', 'to', 'chinatown', 'and', 'eating', 'egg', 'tarts', 'with', 'the', 'lovely', ' ', 'urllink', 'meredi', '.')"
eat,ate,"At the latter, i ate my face off hahaha.",36089,27,5,"('At', 'the', 'latter', ',', 'i', 'ate', 'my', 'face', 'off', 'hahaha', '.')"
eat,ate,"I do however recall that they had a pretty kick ass habitral (though nothing compared to  urllink these )and that they ate their babies, or maybe they ate each other, it's a little blurry when it comes to who was eating who.",16685,22,31,"('I', 'do', 'however', 'recall', 'that', 'they', 'had', 'a', 'pretty', 'kick', 'ass', 'habitral', '(', 'though', 'nothing', 'compared', 'to', ' ', 'urllink', 'these', ')', 'and', 'that', 'they', 'ate', 'their', 'babies', ',', 'or', 'maybe', 'they', 'ate', 'each', 'other', ',', 'it', ""'s"", 'a', 'little', 'blurry', 'when', 'it', 'comes', 'to', 'who', 'was', 'eating', 'who', '.')"
eat,eating,"Rosemary consumer affairs department   on the bottom of rosemary's very unremarkable retort, there was a push to remember to eat breakfast...   national school breakfast week is the perfect time to remind parents of the importance of eating a good breakfast.",7028,9,41,"('Rosemary', 'consumer', 'affairs', 'department', '  ', 'on', 'the', 'bottom', 'of', 'rosemary', ""'s"", 'very', 'unremarkable', 'retort', ',', 'there', 'was', 'a', 'push', 'to', 'remember', 'to', 'eat', 'breakfast', '...', '  ', 'national', 'school', 'breakfast', 'week', 'is', 'the', 'perfect', 'time', 'to', 'remind', 'parents', 'of', 'the', 'importance', 'of', 'eating', 'a', 'good', 'breakfast', '.')"
eat,ate,dinner we all headed to downtown disney..and ate at espn zone..it was so cool- they were actually filming stuff live for abc monday night football!,36842,39,9,"('dinner', 'we', 'all', 'headed', 'to', 'downtown', 'disney', '..', 'and', 'ate', 'at', 'espn', 'zone', '..', 'it', 'was', 'so', 'cool-', 'they', 'were', 'actually', 'filming', 'stuff', 'live', 'for', 'abc', 'monday', 'night', 'football', '!')"
eat,ate,"*  we [amanda, billy and myself] ate some mac and cheese with hotdogs...",38650,24,10,"('*', ' ', 'we', '[', 'amanda', ',', 'billy', 'and', 'myself', ']', 'ate', 'some', 'mac', 'and', 'cheese', 'with', 'hotdogs', '...')"
eat,eat,The seagull.......  works very few hours   spawned a mini-hippy   likes...body hair....her body hair....hence she never removes it   is passive aggressive   says things like 'if you could go ahead and _______ that'd be great...thanks'   lactates soy milk   hates plants so much that it's all she'll eat.,10847,3,73,"('The', 'seagull', '.......', ' ', 'works', 'very', 'few', 'hours', '  ', 'spawned', 'a', 'mini', '-', 'hippy', '  ', 'likes', '...', 'body', 'hair', '....', 'her', 'body', 'hair', '....', 'hence', 'she', 'never', 'removes', 'it', '  ', 'is', 'passive', 'aggressive', '  ', 'says', 'things', 'like', ""'"", 'if', 'you', 'could', 'go', 'ahead', 'and', '_', '_', '_', '_', '_', '_', '_', 'that', ""'d"", 'be', 'great', '...', 'thanks', ""'"", '  ', 'lactates', 'soy', 'milk', '  ', 'hates', 'plants', 'so', 'much', 'that', 'it', ""'s"", 'all', 'she', ""'ll"", 'eat', '.')"
eat,eat,He took me to carl's jr. because it's somewhere we both like to eat.,29252,67,16,"('He', 'took', 'me', 'to', 'carl', ""'s"", 'jr', '.', 'because', 'it', ""'s"", 'somewhere', 'we', 'both', 'like', 'to', 'eat', '.')"
eat,ate,"coach was freakin' eating up the nachos!  from the looks of it, she ate a lot!",13054,60,17,"('coach', 'was', 'freakin', ""'"", 'eating', 'up', 'the', 'nachos', '!', ' ', 'from', 'the', 'looks', 'of', 'it', ',', 'she', 'ate', 'a', 'lot', '!')"
eat,eating,"You know, where you're eating leftover pizza at 2 o'clock in the morning",34839,2,6,"('You', 'know', ',', 'where', 'you', ""'re"", 'eating', 'leftover', 'pizza', 'at', '2', ""o'clock"", 'in', 'the', 'morning')"
eat,eat,He mentioned something about seeing if there are any concerts going on and doing that rather than having dinner (we can eat anytime he says).,28938,14,22,"('He', 'mentioned', 'something', 'about', 'seeing', 'if', 'there', 'are', 'any', 'concerts', 'going', 'on', 'and', 'doing', 'that', 'rather', 'than', 'having', 'dinner', '(', 'we', 'can', 'eat', 'anytime', 'he', 'says', ')', '.')"
eat,eating,"He wasn't able to see cheyenne because of an emergency with another dog, but was reassured that our girl was resting comfortably and being thoroughly spoiled by the staff and eating it up too.",23796,33,32,"('He', 'was', ""n't"", 'able', 'to', 'see', 'cheyenne', 'because', 'of', 'an', 'emergency', 'with', 'another', 'dog', ',', 'but', 'was', 'reassured', 'that', 'our', 'girl', 'was', 'resting', 'comfortably', 'and', 'being', 'thoroughly', 'spoiled', 'by', 'the', 'staff', 'and', 'eating', 'it', 'up', 'too', '.')"
eat,eaten,I hadn't eaten yet and it was 8:30 p by this time.,22053,29,3,"('I', 'had', ""n't"", 'eaten', 'yet', 'and', 'it', 'was', '8:30', 'p', 'by', 'this', 'time', '.')"
eat,eat,Each of us controls how much fast food we eat or our young children eat.,23802,36,9,"('Each', 'of', 'us', 'controls', 'how', 'much', 'fast', 'food', 'we', 'eat', 'or', 'our', 'young', 'children', 'eat', '.')"
eat,ate,1:15pm-ate lunch 1:45pm-worked on 'how to project' 3:19-talking you,30944,7,2,"('1:15pm', '-', 'ate', 'lunch', '1:45pm', '-', 'worked', 'on', ""'"", 'how', 'to', 'project', ""'"", '3:19', '-', 'talking', 'you')"
eat,eating,"Granted, there are a lot of them around (can't seem to go out anywhere without seeing them dead or alive), but eating them?",36106,3,26,"('Granted', ',', 'there', 'are', 'a', 'lot', 'of', 'them', 'around', '(', 'ca', ""n't"", 'seem', 'to', 'go', 'out', 'anywhere', 'without', 'seeing', 'them', 'dead', 'or', 'alive', ')', ',', 'but', 'eating', 'them', '?')"
eat,eat,"so,what do i think about...... about food, and why i eat or don't eat what   i can eat pork liver, but not beef liver because it smells pissy to my.",8069,0,14,"('so', ',', 'what', 'do', 'i', 'think', 'about', '......', 'about', 'food', ',', 'and', 'why', 'i', 'eat', 'or', 'do', ""n't"", 'eat', 'what', '  ', 'i', 'can', 'eat', 'pork', 'liver', ',', 'but', 'not', 'beef', 'liver', 'because', 'it', 'smells', 'pissy', 'to', 'my', '.')"
eat,eat,"My mom tells me i'm fat all the time, and yells at me if i eat more than she thinks i should...",4918,17,17,"('My', 'mom', 'tells', 'me', 'i', ""'m"", 'fat', 'all', 'the', 'time', ',', 'and', 'yells', 'at', 'me', 'if', 'i', 'eat', 'more', 'than', 'she', 'thinks', 'i', 'should', '...')"
eat,ate,"So those were good, and then later i needed something sweet, so i ate some cookies.",33433,8,15,"('So', 'those', 'were', 'good', ',', 'and', 'then', 'later', 'i', 'needed', 'something', 'sweet', ',', 'so', 'i', 'ate', 'some', 'cookies', '.')"
eat,eat,My cell phone message gives the impression that i am about to eat the caller and i feel brain-dead from the psat workshop where my mind broke on the last test section and elise is the messenger who bespoke of haemon's final look toward antigone and rumors fly like bats and autumn is tumbling inward and why in hell am i writing this?,10183,0,12,"('My', 'cell', 'phone', 'message', 'gives', 'the', 'impression', 'that', 'i', 'am', 'about', 'to', 'eat', 'the', 'caller', 'and', 'i', 'feel', 'brain', '-', 'dead', 'from', 'the', 'psat', 'workshop', 'where', 'my', 'mind', 'broke', 'on', 'the', 'last', 'test', 'section', 'and', 'elise', 'is', 'the', 'messenger', 'who', 'bespoke', 'of', 'haemon', ""'s"", 'final', 'look', 'toward', 'antigone', 'and', 'rumors', 'fly', 'like', 'bats', 'and', 'autumn', 'is', 'tumbling', 'inward', 'and', 'why', 'in', 'hell', 'am', 'i', 'writing', 'this', '?')"
eat,eat,i am feeling so tired now...yawnzzz..went to my father stall to help out until 4 plus then went home to get changed to get ready to meet carlos...play pool till wan 9 o'clock lioaz then mojojo ask me wan accompany him go eat dinner or not then me and carlos went to tiong bahrua and went for him to arrived...by the time he arrived it was already 10 plus...,4782,1,48,"('i', 'am', 'feeling', 'so', 'tired', 'now', '...', 'yawnzzz', '..', 'went', 'to', 'my', 'father', 'stall', 'to', 'help', 'out', 'until', '4', 'plus', 'then', 'went', 'home', 'to', 'get', 'changed', 'to', 'get', 'ready', 'to', 'meet', 'carlos', '...', 'play', 'pool', 'till', 'wan', '9', ""o'clock"", 'lioaz', 'then', 'mojojo', 'ask', 'me', 'wan', 'accompany', 'him', 'go', 'eat', 'dinner', 'or', 'not', 'then', 'me', 'and', 'carlos', 'went', 'to', 'tiong', 'bahrua', 'and', 'went', 'for', 'him', 'to', 'arrived', '...', 'by', 'the', 'time', 'he', 'arrived', 'it', 'was', 'already', '10', 'plus', '...')"
eat,eat,"so she gives me the rundown of everything that i must must must avoid: dairy products (this includes cheese, ranch dressing, and yes, milk for my freakin' cereal even), carbohydrates (which is everything i eat) and junk food in general (no more sweets and fast food for me).",15524,10,43,"('so', 'she', 'gives', 'me', 'the', 'rundown', 'of', 'everything', 'that', 'i', 'must', 'must', 'must', 'avoid', ':', 'dairy', 'products', '(', 'this', 'includes', 'cheese', ',', 'ranch', 'dressing', ',', 'and', 'yes', ',', 'milk', 'for', 'my', 'freakin', ""'"", 'cereal', 'even', ')', ',', 'carbohydrates', '(', 'which', 'is', 'everything', 'i', 'eat', ')', 'and', 'junk', 'food', 'in', 'general', '(', 'no', 'more', 'sweets', 'and', 'fast', 'food', 'for', 'me', ')', '.')"
eat,eat,Breakfast clubbers say the motto that he taught us to repeat: 'you will lose it in your gym class if you wait 'til noon to eat.',35282,9,28,"('Breakfast', 'clubbers', 'say', 'the', 'motto', 'that', 'he', 'taught', 'us', 'to', 'repeat', ':', ""'"", 'you', 'will', 'lose', 'it', 'in', 'your', 'gym', 'class', 'if', 'you', 'wait', ""'"", 'til', 'noon', 'to', 'eat', '.', ""'"")"
eat,eating,"It roughly translates into:   'addison i want you to sit with your bottom on that seat until we are finished eating our supper.'  (to which my son, inevitably concerned with the theoretical endlessness of the unmarked future, asks: but, daddy.",12680,10,23,"('It', 'roughly', 'translates', 'into', ':', '  ', ""'"", 'addison', 'i', 'want', 'you', 'to', 'sit', 'with', 'your', 'bottom', 'on', 'that', 'seat', 'until', 'we', 'are', 'finished', 'eating', 'our', 'supper', '.', ""'"", ' ', '(', 'to', 'which', 'my', 'son', ',', 'inevitably', 'concerned', 'with', 'the', 'theoretical', 'endlessness', 'of', 'the', 'unmarked', 'future', ',', 'asks', ':', 'but', ',', 'daddy', '.')"
eat,ate,"Mmmmm it was all good, but then after i ate all that stuff i felt horrible.",33380,12,10,"('Mmmmm', 'it', 'was', 'all', 'good', ',', 'but', 'then', 'after', 'i', 'ate', 'all', 'that', 'stuff', 'i', 'felt', 'horrible', '.')"
eat,eat,Whether it's going to the mall and getting a bit to eat or sitting around shooting pool and trying to win stuffen animals the time i spend with my friends is the most important time in my life.,268,27,12,"('Whether', 'it', ""'s"", 'going', 'to', 'the', 'mall', 'and', 'getting', 'a', 'bit', 'to', 'eat', 'or', 'sitting', 'around', 'shooting', 'pool', 'and', 'trying', 'to', 'win', 'stuffen', 'animals', 'the', 'time', 'i', 'spend', 'with', 'my', 'friends', 'is', 'the', 'most', 'important', 'time', 'in', 'my', 'life', '.')"
eat,eat,"If you eat there, you'll suffer later.",8059,12,2,"('If', 'you', 'eat', 'there', ',', 'you', ""'ll"", 'suffer', 'later', '.')"
eat,eating,"Hey, why are you eating so many prawns ma?  ma:",39287,5,5,"('Hey', ',', 'why', 'are', 'you', 'eating', 'so', 'many', 'prawns', 'ma', '?', ' ', 'ma', ':')"
eat,ate,day1: it was tight cuz we just kinda chilled at our coaches house and ate a lot of food and watched van wilder.,1170,5,15,"('day1', ':', 'it', 'was', 'tight', 'cuz', 'we', 'just', 'kinda', 'chilled', 'at', 'our', 'coaches', 'house', 'and', 'ate', 'a', 'lot', 'of', 'food', 'and', 'watched', 'van', 'wilder', '.')"
eat,eat,I need to stop working while i eat and check out what is going on with the network of friends.,18970,32,7,"('I', 'need', 'to', 'stop', 'working', 'while', 'i', 'eat', 'and', 'check', 'out', 'what', 'is', 'going', 'on', 'with', 'the', 'network', 'of', 'friends', '.')"
eat,eat,As a result we get to eat like kings for a couple of weeks before the holiday.,17235,9,6,"('As', 'a', 'result', 'we', 'get', 'to', 'eat', 'like', 'kings', 'for', 'a', 'couple', 'of', 'weeks', 'before', 'the', 'holiday', '.')"
eat,eating,"we both luv eating lots of cheese, cheddar is for sure the best, and its even better when its on pizza, it makes it taste so much better than the rest.",34500,7,3,"('we', 'both', 'luv', 'eating', 'lots', 'of', 'cheese', ',', 'cheddar', 'is', 'for', 'sure', 'the', 'best', ',', 'and', 'its', 'even', 'better', 'when', 'its', 'on', 'pizza', ',', 'it', 'makes', 'it', 'taste', 'so', 'much', 'better', 'than', 'the', 'rest', '.')"
