lemma,word form,sentence,doc index,sent index,token index,tokenized sentence
earn,earn,I juz wanna earn more and keep the money in my new piggy bank!,21868,9,3,"('I', 'juz', 'wanna', 'earn', 'more', 'and', 'keep', 'the', 'money', 'in', 'my', 'new', 'piggy', 'bank', '!')"
earn,earning,"To become well rested and start earning bonus experience from killing monsters again, players must either log out or rest online at an inn (see below) for several hours.",11784,9,6,"('To', 'become', 'well', 'rested', 'and', 'start', 'earning', 'bonus', 'experience', 'from', 'killing', 'monsters', 'again', ',', 'players', 'must', 'either', 'log', 'out', 'or', 'rest', 'online', 'at', 'an', 'inn', '(', 'see', 'below', ')', 'for', 'several', 'hours', '.')"
earn,earned,"In the last month or so, it looks like he's earned a similar 'scandal immunity'.",35010,25,12,"('In', 'the', 'last', 'month', 'or', 'so', ',', 'it', 'looks', 'like', 'he', ""'s"", 'earned', 'a', 'similar', ""'"", 'scandal', 'immunity', ""'"", '.')"
earn,earn,There is also a affiliate program where you can earn $65 for each referral you get.,23046,13,9,"('There', 'is', 'also', 'a', 'affiliate', 'program', 'where', 'you', 'can', 'earn', '$', '65', 'for', 'each', 'referral', 'you', 'get', '.')"
earn,earned,School is nothing but an absolute regime created by a totalitarian government to hold down the people and collect your hard earned allowance to squander on weapons and cannons and stuff!,31382,19,21,"('School', 'is', 'nothing', 'but', 'an', 'absolute', 'regime', 'created', 'by', 'a', 'totalitarian', 'government', 'to', 'hold', 'down', 'the', 'people', 'and', 'collect', 'your', 'hard', 'earned', 'allowance', 'to', 'squander', 'on', 'weapons', 'and', 'cannons', 'and', 'stuff', '!')"
earn,earn,"However, my parents are not able to provide for me forever and sooner or later i’m going to have to leave this comfortable nest of mine and go out to earn my own money.",10495,25,32,"('However', ',', 'my', 'parents', 'are', 'not', 'able', 'to', 'provide', 'for', 'me', 'forever', 'and', 'sooner', 'or', 'later', 'i', '’m', 'going', 'to', 'have', 'to', 'leave', 'this', 'comfortable', 'nest', 'of', 'mine', 'and', 'go', 'out', 'to', 'earn', 'my', 'own', 'money', '.')"
earn,earned,"To the delight of the crowd, y2j “earned” the coveted match, sitting proudly in the sole remaining seat.",13316,10,9,"('To', 'the', 'delight', 'of', 'the', 'crowd', ',', 'y2j', '“', 'earned', '”', 'the', 'coveted', 'match', ',', 'sitting', 'proudly', 'in', 'the', 'sole', 'remaining', 'seat', '.')"
earn,earned,It does not affect experience earned from quest rewards or other experience rewards in the game (such as future pvp experience rewards).,11784,2,5,"('It', 'does', 'not', 'affect', 'experience', 'earned', 'from', 'quest', 'rewards', 'or', 'other', 'experience', 'rewards', 'in', 'the', 'game', '(', 'such', 'as', 'future', 'pvp', 'experience', 'rewards', ')', '.')"
earn,earning,"We are now hard-working, income-earning adults who need that stress release at the end of the week.",21144,21,9,"('We', 'are', 'now', 'hard', '-', 'working', ',', 'income', '-', 'earning', 'adults', 'who', 'need', 'that', 'stress', 'release', 'at', 'the', 'end', 'of', 'the', 'week', '.')"
earn,earn,"as another absi alumnae said, it is in absi where you can earn money the easiest way.",20675,5,13,"('as', 'another', 'absi', 'alumnae', 'said', ',', 'it', 'is', 'in', 'absi', 'where', 'you', 'can', 'earn', 'money', 'the', 'easiest', 'way', '.')"
earn,earned,"Well, at the time i had lean legs that earned me compliments.",25811,20,10,"('Well', ',', 'at', 'the', 'time', 'i', 'had', 'lean', 'legs', 'that', 'earned', 'me', 'compliments', '.')"
earn,earned,"Admittedly, only $200 of it was money that i earned, but still...",21080,29,11,"('Admittedly', ',', 'only', '$', '200', 'of', 'it', 'was', 'money', 'that', 'i', 'earned', ',', 'but', 'still', '...')"
