,lemma,word form,sentence,doc index,sent index,token index,tokenized sentence,is_randomized,randomized indices,randomized sentence,new token index
1332,eat,eat,Mommy's cooking~~~~hohohohoho~~~~can't wait to eat.,26526,10,5,"('Mommy', ""'s"", ""cooking~~~~hohohohoho~~~~can't"", 'wait', 'to', 'eat', '.')",False,,,
2965,eat,eat,My brother woke me up at 12 and told me to eat.,20815,1,11,"('My', 'brother', 'woke', 'me', 'up', 'at', '12', 'and', 'told', 'me', 'to', 'eat', '.')",False,,,
1273,eat,eat,"But anyway, i am going home to get something to eat.",33389,13,11,"('But', 'anyway', ',', 'i', 'am', 'going', 'home', 'to', 'get', 'something', 'to', 'eat', '.')",False,,,
2962,eat,ate,"i have really bad cramps and am really pmsy, so im going to go eat (even though i just ate like six pieces of pizza, four breadsticks, a salad, and three cinnamon rolls...",33013,16,22,"('i', 'have', 'really', 'bad', 'cramps', 'and', 'am', 'really', 'pmsy', ',', 'so', 'i', 'm', 'going', 'to', 'go', 'eat', '(', 'even', 'though', 'i', 'just', 'ate', 'like', 'six', 'pieces', 'of', 'pizza', ',', 'four', 'breadsticks', ',', 'a', 'salad', ',', 'and', 'three', 'cinnamon', 'rolls', '...')",False,,,
458,eat,eat,What should i eat for breakfast?,21788,3,3,"('What', 'should', 'i', 'eat', 'for', 'breakfast', '?')",False,,,
217,eat,eat,Ever since starting to go to the gym (and quitting smoking) i've had an incredible urge to eat a shitload.,16281,4,20,"('Ever', 'since', 'starting', 'to', 'go', 'to', 'the', 'gym', '(', 'and', 'quitting', 'smoking', ')', 'i', ""'ve"", 'had', 'an', 'incredible', 'urge', 'to', 'eat', 'a', 'shitload', '.')",False,,,
645,eat,ate,"Everyone noticed that i was melancholy and barely ate, and a two berkeley astrophysics professors tried to comfort me.",37572,15,8,"('Everyone', 'noticed', 'that', 'i', 'was', 'melancholy', 'and', 'barely', 'ate', ',', 'and', 'a', 'two', 'berkeley', 'astrophysics', 'professors', 'tried', 'to', 'comfort', 'me', '.')",False,,,
1252,eat,eat,They wont go to waste my granny and my mom and dad will eat them.,21294,2,14,"('They', 'wo', 'nt', 'go', 'to', 'waste', 'my', 'granny', 'and', 'my', 'mom', 'and', 'dad', 'will', 'eat', 'them', '.')",False,,,
260,eat,ate,but we ate it..,16853,35,2,"('but', 'we', 'ate', 'it', '..')",False,,,
2584,eat,eat,i damn hungry till wanna vomit lor..after eat le we walked to esplanade..bought hagen dazs ice cream there..super sinful..sure put on weight de..haiya..den we went esplanade rooftop..so cool sia..told them christmas and valentine's day go there again..,122,4,9,"('i', 'damn', 'hungry', 'till', 'wanna', 'vomit', 'lor', '..', 'after', 'eat', 'le', 'we', 'walked', 'to', 'esplanade', '..', 'bought', 'hagen', 'dazs', 'ice', 'cream', 'there', '..', 'super', 'sinful', '..', 'sure', 'put', 'on', 'weight', 'de', '..', 'haiya', '..', 'den', 'we', 'went', 'esplanade', 'rooftop', '..', 'so', 'cool', 'sia', '..', 'told', 'them', 'christmas', 'and', 'valentine', ""'s"", 'day', 'go', 'there', 'again', '..')",False,,,
