,Unnamed: 0,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma,freq_band
24,24,1,17,full,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,full,96
308,308,19,40,besides,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,besides,96
1174,1174,59,46,constitutionally,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,constitutionally,98
1931,1931,88,3,blatantly,ADV,ADV,DET,DET,DET,DET,ADJ,ADJ,ADJ,ADJ,ADJ,blatantly,96
1998,1998,90,2,routinely,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,routinely,95
2267,2267,101,31,fatally,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,fatally,98
2660,2660,115,6,ill,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ill,96
2732,2732,118,12,purposely,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,purposely,96
3314,3314,161,2,notionally,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,notionally,98
3794,3794,179,0,Of,ADP,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,of,96
4213,4213,199,3,thereafter,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,thereafter,95
4442,4442,209,0,Of,ADP,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,of,96
5323,5323,316,0,Best,ADJ,ADV,PROPN,PROPN,X,PROPN,X,X,X,X,X,good,96
5784,5784,353,0,Ideally,ADV,ADV,INTJ,INTJ,INTJ,INTJ,ADV,INTJ,ADV,ADV,ADV,ideally,96
5828,5828,355,13,consequently,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,consequently,96
7716,7716,538,0,Of,ADP,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,of,96
8199,8199,573,10,kindly,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,kindly,95
9122,9122,651,2,everyday,NOUN,ADV,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,everyday,97
9615,9615,709,0,Best,ADJ,ADV,PROPN,PROPN,X,PROPN,X,X,X,X,X,good,96
9808,9808,733,1,confidentially,ADV,ADV,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,ADV,ADV,ADV,VERB,confidentially,98
9814,9814,733,7,best,ADJ,ADV,PUNCT,PUNCT,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,good,96
11308,11308,877,19,aptly,ADV,ADV,AUX,AUX,AUX,AUX,AUX,AUX,ADV,AUX,ADV,aptly,98
11443,11443,883,0,Best,ADJ,ADV,PROPN,PROPN,X,PROPN,X,X,X,X,X,good,96
11682,11682,898,20,abnormally,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,abnormally,98
12544,12544,964,15,ingeniously,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ingeniously,98
12774,12774,978,18,collaboratively,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,collaboratively,98
14663,14663,1148,0,kindly,ADV,ADV,INTJ,INTJ,INTJ,INTJ,INTJ,INTJ,INTJ,INTJ,INTJ,kindly,95
14795,14795,1158,6,hardly,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,hardly,95
15435,15435,1221,6,better,ADJ,ADV,ADV,ADV,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,good,96
15515,15515,1227,9,alike,ADJ,ADV,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,alike,99
15943,15943,1265,0,Nearby,ADP,ADV,CCONJ,CCONJ,CCONJ,ADV,CCONJ,ADV,ADV,ADV,ADV,nearby,98
17002,17002,1360,5,better,ADJ,ADV,ADV,ADV,ADJ,ADV,ADJ,ADV,ADV,ADJ,ADJ,good,96
17603,17603,1403,4,distinctly,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,distinctly,98
18353,18353,1463,0,esp,ADV,ADV,ADV,ADV,CCONJ,CCONJ,ADV,CCONJ,ADV,CCONJ,CCONJ,esp,96
18751,18751,1482,9,then,ADP,ADV,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,than,96
19145,19145,1506,23,lately,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,lately,95
19331,19331,1519,10,anytime,NOUN,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,anytime,95
19769,19769,1551,0,Best,ADJ,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,good,96
19800,19800,1555,2,better,ADJ,ADV,ADV,ADV,ADV,ADV,ADV,ADJ,ADJ,ADJ,ADJ,good,96
20765,20765,1686,10,downstairs,ADV,ADV,PART,PART,PART,PRON,PRON,PRON,PRON,PRON,PRON,downstairs,96
21202,21202,1732,1,thoroughly,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,thoroughly,95
22695,22695,1873,18,indoors,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,indoors,95
23232,23232,1918,7,promptly,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,promptly,95
23549,23549,1950,3,legitimately,ADV,ADV,PART,PART,ADV,ADV,ADV,ADV,ADV,ADV,ADV,legitimately,98
23875,23875,1976,10,suitably,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,suitably,98
24231,24231,2005,3,surgically,ADV,ADV,NOUN,NOUN,NOUN,NOUN,ADJ,NOUN,NOUN,NOUN,NOUN,surgically,96
24704,24704,2047,3,deathly,ADV,ADV,ADV,ADV,DET,ADV,DET,ADV,ADV,ADV,ADV,deathly,98
