,Unnamed: 0,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma,freq_band
112,112,7,2,blogger,PROPN,NOUN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,blogger,95
940,940,51,34,v,NUM,NOUN,NOUN,NOUN,PROPN,PROPN,PROPN,NOUN,PROPN,PROPN,PROPN,v,97
4575,4575,226,1,r,AUX,NOUN,AUX,AUX,AUX,VERB,VERB,ADV,ADV,ADV,VERB,be,97
10851,10851,841,29,Double,ADJ,NOUN,X,X,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,double,98
11004,11004,858,0,Followup,VERB,NOUN,ADP,ADP,ADP,ADP,X,X,NOUN,NOUN,NOUN,followup,99
15112,15112,1188,2,deli,PROPN,NOUN,DET,DET,DET,DET,DET,DET,PUNCT,PUNCT,PUNCT,deli,99
15123,15123,1189,3,deli,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,deli,99
16606,16606,1332,11,buy,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,buy,96
16721,16721,1339,20,screaming,VERB,NOUN,ADP,ADP,ADP,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,scream,97
17516,17516,1396,7,re,AUX,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,be,97
18406,18406,1463,53,int,ADP,NOUN,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADP,into,96
21593,21593,1771,0,Superior,ADJ,NOUN,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,superior,96
23025,23025,1899,8,opening,VERB,NOUN,VERB,VERB,VERB,VERB,VERB,ADV,ADV,AUX,AUX,open,96
24395,24395,2024,15,trimmers,PROPN,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,trimmer,99
