,Unnamed: 0,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma,freq_band
1018,1018,53,20,I,NUM,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,I,100
1056,1056,55,21,I,NUM,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,I,100
3570,3570,169,23,German,ADJ,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,German,97
4290,4290,201,8,Prime,ADJ,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Prime,96
9479,9479,693,12,Canadian,ADJ,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Canadian,97
12354,12354,952,4,Color,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,color,96
12426,12426,957,2,Magic,ADJ,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,magic,97
16454,16454,1318,11,PC,NOUN,PROPN,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,pc,97
17320,17320,1379,1,Food,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,food,98
17323,17323,1379,4,Food,NOUN,PROPN,PROPN,PROPN,NOUN,PROPN,NOUN,NOUN,NOUN,NOUN,PROPN,food,98
17330,17330,1379,11,Chinese,ADJ,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Chinese,97
18100,18100,1436,1,Ice,NOUN,PROPN,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,PROPN,PROPN,PROPN,ice,96
18101,18101,1436,2,Cream,NOUN,PROPN,PROPN,PROPN,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,cream,96
18129,18129,1436,30,Ice,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,ice,96
18130,18130,1436,31,Cream,NOUN,PROPN,PROPN,PROPN,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,cream,96
18143,18143,1436,44,Ice,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,ice,96
18144,18144,1436,45,Cream,NOUN,PROPN,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,PUNCT,cream,96
18813,18813,1484,13,GO,VERB,PROPN,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,go,96
21898,21898,1800,1,Food,NOUN,PROPN,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,food,98
