,Unnamed: 0,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma,freq_band
75,75,4,11,backfire,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,backfire,97
334,334,21,12,opt,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,opt,95
478,478,28,21,sympathise,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,sympathise,97
512,512,30,11,wiped,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,wipe,97
625,625,40,2,chanted,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,chant,95
652,652,40,29,buried,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,bury,97
772,772,45,4,roiled,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,roil,97
1169,1169,59,41,frowned,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,frown,97
1225,1225,61,11,paced,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,pace,97
1248,1248,61,34,eclipsed,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,eclipse,97
1296,1296,63,25,ebbed,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,ebb,97
1493,1493,71,6,parse,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,parse,97
1708,1708,80,18,decrease,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,decrease,97
1915,1915,87,19,duped,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,dupe,97
1981,1981,89,31,waffling,VERB,VERB,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,waffle,97
1999,1999,90,3,obscures,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,obscure,97
2026,2026,92,3,sidestep,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,sidestep,97
2068,2068,93,3,fuming,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,fume,97
2352,2352,104,8,sinned,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,sin,97
2441,2441,107,34,refrain,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,refrain,97
2575,2575,111,2,pinched,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,pinch,97
2602,2602,113,11,foiled,VERB,VERB,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,foil,95
2622,2622,113,31,inflame,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,inflame,97
2924,2924,138,18,foiled,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,foil,95
3318,3318,161,6,encompass,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,encompass,97
3364,3364,162,24,predominates,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,predominate,97
3484,3484,167,4,oriented,VERB,VERB,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,VERB,orient,97
3614,3614,171,3,sighted,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,sight,97
3763,3763,177,18,expended,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,expend,97
3858,3858,183,10,muttering,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,mutter,97
3960,3960,185,34,allied,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,ally,95
3984,3984,186,10,obsessing,VERB,VERB,VERB,VERB,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,obsess,97
4079,4079,191,17,gunning,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,gun,97
4182,4182,197,5,marginalized,VERB,VERB,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,marginalize,95
4189,4189,198,1,demoted,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,demote,97
4224,4224,199,14,outranked,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,outrank,97
4322,4322,202,1,presume,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,presume,97
4459,4459,210,5,tempted,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,tempt,97
4878,4878,266,4,hose,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,hose,97
5294,5294,310,4,ponder,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,ponder,97
5422,5422,323,12,hitch,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,hitch,97
5831,5831,355,16,dipping,VERB,VERB,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,VERB,VERB,dip,95
6198,6198,388,8,replenish,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,replenish,97
6341,6341,404,17,conrfirmed,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,conrfirm,97
6460,6460,415,2,extract,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,extract,97
6683,6683,434,13,grasp,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,grasp,95
6908,6908,458,11,bump,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,bump,95
7523,7523,526,4,correct,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,correct,95
7537,7537,528,2,topped,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,top,95
7554,7554,529,8,tumbled,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,tumble,97
7764,7764,540,23,left,VERB,VERB,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,VERB,left,97
7981,7981,560,1,summarize,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,summarize,95
8057,8057,566,13,regressing,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,regress,97
8217,8217,574,10,consent,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,consent,95
8254,8254,575,27,endorsed,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,endorse,95
8352,8352,585,17,complement,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,complement,97
8406,8406,589,18,intrude,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,intrude,97
9974,9974,752,14,bridge,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,bridge,97
10106,10106,766,14,disregard,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,disregard,95
10285,10285,791,3,CC,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,cc,95
10374,10374,796,9,export,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,export,97
10627,10627,823,0,kisses,NOUN,VERB,PROPN,PROPN,PROPN,PROPN,PROPN,VERB,VERB,VERB,VERB,kiss,97
10889,10889,843,25,pee,X,VERB,ADP,ADP,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,pee,95
11277,11277,875,18,outlawed,VERB,VERB,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,outlaw,97
11309,11309,877,20,summarised,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,summarise,95
11641,11641,897,28,account,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,account,95
11717,11717,899,27,exacerbated,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,exacerbate,95
11751,11751,904,2,defies,VERB,VERB,NOUN,NOUN,NOUN,ADP,ADP,ADP,ADP,ADP,ADP,defy,95
12455,12455,959,3,lecturing,VERB,VERB,ADV,ADV,ADV,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,lecture,97
12600,12600,967,3,gaze,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,gaze,95
12683,12683,973,11,brewing,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,brew,97
12721,12721,975,7,counter,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,counter,95
12817,12817,980,12,slay,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,slay,97
12831,12831,980,26,vanquish,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,vanquish,97
12891,12891,987,14,campaigning,VERB,VERB,ADJ,ADJ,ADJ,ADJ,VERB,VERB,VERB,VERB,VERB,campaign,97
12901,12901,988,5,dedicated,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,dedicate,97
12948,12948,989,21,exchange,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,exchange,97
13295,13295,1008,5,beams,VERB,VERB,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,beam,97
13572,13572,1023,16,underscores,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,underscore,95
13707,13707,1031,14,lofted,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,loft,97
