,Unnamed: 0,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma,freq_band
26,26,1,19,fledged,ADJ,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,fledged,93
51,51,3,12,little,ADJ,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,little,11
52,52,3,13,nostalgic,NOUN,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,nostalgic,-1
60,60,3,21,good,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,good,2
98,98,5,3,nice,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,nice,17
135,135,10,4,few,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,few,10
167,167,11,8,excellent,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,excellent,23
190,190,13,3,good,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,good,2
194,194,13,7,few,ADJ,ADJ,ADJ,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,few,10
214,214,15,2,next,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,next,16
242,242,17,9,amazing,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,amazing,37
254,254,18,10,important,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,important,40
278,278,19,10,new,ADJ,ADJ,ADJ,ADJ,ADJ,PROPN,PROPN,PROPN,PROPN,NOUN,PROPN,new,5
296,296,19,28,online,ADJ,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,online,64
305,305,19,37,few,ADJ,ADJ,ADJ,ADJ,ADJ,NUM,NUM,NUM,NOUN,NUM,NOUN,few,10
306,306,19,38,new,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,new,5
313,313,20,3,fond,ADJ,ADJ,NOUN,NOUN,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,fond,89
365,365,21,43,worried,ADJ,ADJ,ADJ,ADJ,VERB,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,worried,68
396,396,21,74,much,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,much,18
409,409,22,6,bad,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,bad,13
414,414,23,2,other,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,other,4
420,420,23,8,cool,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,cool,59
427,427,24,5,nuclear,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,nuclear,47
431,431,24,9,nuclear,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,nuclear,47
441,441,25,7,Iranian,ADJ,ADJ,PROPN,PROPN,ADJ,PROPN,ADJ,ADJ,ADJ,ADJ,ADJ,Iranian,59
448,448,26,4,Iranian,ADJ,ADJ,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Iranian,59
466,466,28,9,Iranian,ADJ,ADJ,PROPN,PROPN,PROPN,PROPN,ADJ,PROPN,PROPN,PROPN,PROPN,Iranian,59
470,470,28,13,willing,ADJ,ADJ,VERB,VERB,ADJ,VERB,ADJ,VERB,VERB,VERB,VERB,willing,51
474,474,28,17,nuclear,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,nuclear,47
487,487,29,4,nasty,ADJ,ADJ,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,nasty,82
498,498,29,15,anti-proliferation,NOUN,ADJ,NOUN,NOUN,NOUN,ADJ,ADJ,PROPN,PROPN,PROPN,PROPN,anti-proliferation,-1
525,525,30,24,nuclear,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,nuclear,47
535,535,31,7,nuclear,ADJ,ADJ,DET,DET,DET,DET,DET,ADJ,ADJ,DET,DET,nuclear,47
