,Unnamed: 0,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma,freq_band
4,4,0,4,Into,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,into,15
11,11,1,4,on,ADP,ADP,DET,DET,ADP,ADP,ADP,ADP,ADP,ADP,ADP,on,6
22,22,1,15,into,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,into,15
31,31,2,1,via,ADP,ADP,DET,DET,DET,DET,DET,DET,DET,DET,DET,via,43
34,34,2,4,from,ADP,ADP,SYM,SYM,SYM,SYM,CCONJ,PUNCT,PUNCT,PUNCT,PUNCT,from,9
42,42,3,3,by,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,by,10
53,53,3,14,for,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,for,5
72,72,4,8,toward,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,toward,47
91,91,4,27,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in,3
106,106,6,4,for,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,for,5
114,114,7,4,of,ADP,ADP,ADP,ADP,ADP,ADP,ADV,ADP,ADP,ADP,ADP,of,2
127,127,9,4,from,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,from,9
144,144,10,13,across,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,across,38
161,161,11,2,from,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,from,9
165,165,11,6,out,ADP,ADP,ADV,ADV,ADP,ADP,ADP,ADP,ADP,ADP,ADP,out,13
170,170,11,11,on,SCONJ,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,on,6
177,177,11,18,for,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,for,5
178,178,11,19,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in,3
192,192,13,5,on,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,on,6
195,195,13,8,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of,2
200,200,14,1,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of,2
209,209,14,10,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in,3
212,212,15,0,On,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,on,6
220,220,15,8,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of,2
228,228,16,3,to,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,to,4
249,249,18,5,out,ADP,ADP,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,out,13
257,257,18,13,by,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,by,10
264,264,18,20,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of,2
273,273,19,5,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of,2
275,275,19,7,over,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,over,19
285,285,19,17,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in,3
303,303,19,35,up,ADP,ADP,DET,DET,DET,ADP,ADP,ADP,ADP,ADP,ADV,up,12
314,314,20,4,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of,2
337,337,21,15,of,SCONJ,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of,2
349,349,21,27,to,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,to,4
351,351,21,29,with,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,with,7
360,360,21,38,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of,2
371,371,21,49,to,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,to,4
378,378,21,56,to,ADP,ADP,ADP,ADP,CCONJ,ADP,ADP,ADP,ADP,ADP,ADP,to,4
385,385,21,63,on,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,on,6
398,398,21,76,on,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,on,6
412,412,23,0,On,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,on,6
429,429,24,7,without,SCONJ,ADP,CCONJ,CCONJ,CCONJ,ADP,ADP,CCONJ,ADP,CCONJ,ADP,without,32
461,461,28,4,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in,3
468,468,28,11,of,SCONJ,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of,2
479,479,28,22,with,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,with,7
488,488,29,5,to,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,to,4
494,494,29,11,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in,3
496,496,29,13,with,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,with,7
513,513,30,12,off,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,off,20
524,524,30,23,without,ADP,ADP,ADP,ADP,ADP,DET,ADP,ADP,ADP,ADP,ADP,without,32
537,537,31,9,for,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,for,5
547,547,32,6,with,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,with,7
550,550,32,9,than,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,than,17
565,565,34,6,without,ADP,ADP,ADP,ADP,ADP,ADP,ADP,NOUN,ADP,NOUN,NOUN,without,32
571,571,35,3,out,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,out,13
578,578,35,10,in,ADP,ADP,ADP,ADP,VERB,ADP,ADP,ADP,ADP,ADP,ADP,in,3
618,618,39,11,behind,ADP,ADP,PRON,PRON,DET,DET,DET,ADP,ADP,ADP,ADP,behind,39
620,620,39,13,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of,2
628,628,40,5,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in,3
632,632,40,9,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of,2
