,Unnamed: 0,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma,freq_band
18,18,1,11,now,ADV,ADV,PUNCT,PUNCT,ADV,ADV,ADV,ADV,ADV,ADV,ADV,now,8
24,24,1,17,full,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,full,96
48,48,3,9,else,ADJ,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,else,86
49,49,3,10,just,ADV,ADV,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,ADV,just,3
80,80,4,16,all,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,all,35
82,82,4,18,before,ADV,ADV,ADV,ADV,ADP,ADV,ADV,ADV,ADV,ADV,ADV,before,64
87,87,4,23,particularly,ADV,ADV,PUNCT,PUNCT,ADV,PUNCT,PUNCT,ADV,ADV,ADV,ADV,particularly,86
88,88,4,24,well,ADV,ADV,ADJ,ADJ,ADJ,ADJ,ADV,ADJ,ADJ,ADJ,ADJ,well,12
108,108,6,6,else,ADJ,ADV,ADV,ADV,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,else,86
126,126,9,3,away,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,away,39
134,134,10,3,very,ADV,ADV,ADV,ADV,ADV,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,very,5
137,137,10,6,actually,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,actually,36
146,146,10,15,yet,ADV,ADV,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,yet,53
155,155,10,24,out,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,out,24
156,156,10,25,there,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,there,11
157,157,10,26,anyways,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,anyways,94
173,173,11,14,actually,ADV,ADV,AUX,AUX,AUX,ADV,ADV,ADV,ADV,ADV,ADV,actually,36
182,182,12,1,here,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,NOUN,ADV,here,14
253,253,18,9,most,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,most,32
291,291,19,23,just,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,just,3
292,292,19,24,about,ADV,ADV,ADV,ADV,ADP,ADV,ADV,ADV,ADV,ADV,ADV,about,30
308,308,19,40,besides,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,besides,96
382,382,21,60,then,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,then,10
392,392,21,70,far,ADV,ADV,ADV,ADV,ADV,NOUN,ADV,ADV,ADV,ADV,ADV,far,34
394,394,21,72,far,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,far,34
395,395,21,73,too,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,too,19
403,403,22,0,However,ADV,ADV,INTJ,INTJ,INTJ,INTJ,INTJ,INTJ,INTJ,INTJ,INTJ,however,29
408,408,22,5,really,ADV,ADV,ADV,ADV,ADV,DET,ADV,ADV,ADV,ADV,ADV,really,17
419,419,23,7,pretty,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,pretty,46
485,485,29,2,certainly,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,certainly,77
504,504,30,3,also,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,also,6
520,520,30,19,even,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,even,9
549,549,32,8,rather,ADP,ADV,ADV,ADV,ADJ,ADV,ADV,ADV,ADV,ADV,ADV,rather,80
612,612,39,5,frequently,ADV,ADV,AUX,AUX,AUX,AUX,ADV,ADV,ADV,ADV,ADV,frequently,88
616,616,39,9,then,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,then,10
770,770,45,2,long,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,long,37
780,780,45,12,there,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,there,11
797,797,45,29,even,ADV,ADV,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,even,9
848,848,47,26,quietly,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,quietly,94
909,909,51,3,now,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,now,8
1105,1105,57,15,rarely,ADV,ADV,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,ADV,rarely,90
1155,1155,59,27,just,ADV,ADV,CCONJ,CCONJ,ADV,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,just,3
