,Unnamed: 0,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma,freq_band
23,23,1,16,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,3
43,43,3,4,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the,2
50,50,3,11,a,DET,DET,DET,DET,DET,DET,DET,DET,ADV,ADV,VERB,a,3
54,54,3,15,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,ADJ,the,2
59,59,3,20,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,3
64,64,4,0,This,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,this,4
92,92,4,28,this,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,this,4
97,97,5,2,a,DET,DET,DET,DET,DET,DET,ADV,ADV,ADV,ADV,ADV,a,3
119,119,8,2,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,3
128,128,9,5,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the,2
133,133,10,2,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,SCONJ,SCONJ,the,2
166,166,11,7,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,3
189,189,13,2,some,DET,DET,DET,DET,ADV,ADV,ADV,ADV,ADV,ADV,ADV,some,6
193,193,13,6,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,3
196,196,13,9,the,DET,DET,PRON,PRON,PRON,PRON,DET,PRON,PRON,PRON,PRON,the,2
201,201,14,2,the,DET,DET,DET,DET,DET,DET,DET,DET,PRON,PRON,PRON,the,2
204,204,14,5,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,3
213,213,15,1,the,DET,DET,DET,DET,DET,DET,DET,DET,PRON,PRON,PRON,the,2
226,226,16,1,the,DET,DET,DET,DET,DET,DET,PRON,DET,PRON,DET,DET,the,2
229,229,16,4,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,PRON,the,2
237,237,17,4,these,DET,DET,DET,DET,DET,DET,DET,DET,PRON,PRON,PRON,this,4
244,244,18,0,This,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,this,4
252,252,18,8,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the,2
258,258,18,14,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the,2
262,262,18,18,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the,2
265,265,18,21,the,DET,DET,DET,DET,DET,ADJ,DET,DET,DET,DET,DET,the,2
271,271,19,3,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the,2
286,286,19,18,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the,2
295,295,19,27,an,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,3
304,304,19,36,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,3
315,315,20,5,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the,2
352,352,21,30,a,DET,DET,DET,DET,PRON,DET,DET,DET,DET,DET,DET,a,3
376,376,21,54,an,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,3
