,Unnamed: 0,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma,freq_band
2,2,0,2,Google,PROPN,PROPN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,Google,15
5,5,0,5,GoogleOS,PROPN,PROPN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,GoogleOS,82
9,9,1,2,Google,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Google,15
32,32,2,2,Microsoft,PROPN,PROPN,PUNCT,PUNCT,PUNCT,DET,DET,DET,DET,DET,DET,Microsoft,42
33,33,2,3,Watch,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Watch,82
35,35,2,5,Mary,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Mary,31
36,36,2,6,Jo,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Jo,71
37,37,2,7,Foley,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Foley,82
65,65,4,1,BuzzMachine,PROPN,PROPN,NOUN,NOUN,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,BuzzMachine,82
69,69,4,5,Google,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Google,15
95,95,5,0,Google,PROPN,PROPN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,Google,15
159,159,11,0,John,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,John,9
160,160,11,1,Donovan,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Donovan,82
162,162,11,3,Argghhh!,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Argghhh!,82
179,179,11,20,Fallujah,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Fallujah,21
197,197,13,10,pic's,NOUN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,pic,-1
210,210,14,11,Fallujah,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Fallujah,21
230,230,16,5,Fallujah,PROPN,PROPN,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,Fallujah,21
245,245,18,1,Fallujah,PROPN,PROPN,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,Fallujah,21
259,259,18,15,US,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,US,3
260,260,18,16,Military,NOUN,PROPN,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,military,-1
276,276,19,8,Google,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Google,15
316,316,20,6,Google,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,Google,15
318,318,20,8,hates,VERB,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,hate,-1
353,353,21,31,Gmail,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Gmail,64
387,387,21,65,Gmail,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Gmail,64
422,422,24,0,Iran,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Iran,6
435,435,25,1,United,ADJ,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,United,-1
436,436,25,2,States,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,State,5
442,442,25,8,Government,NOUN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,government,-1
449,449,26,5,Government,NOUN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,government,-1
462,462,28,5,Time,PROPN,PROPN,DET,DET,DET,DET,DET,DET,DET,DET,DET,Time,54
467,467,28,10,Government,NOUN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,government,-1
481,481,28,24,Article,NOUN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,PROPN,PROPN,PROPN,article,-1
490,490,29,7,United,ADJ,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,United,-1
491,491,29,8,Nations,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Nation,40
492,492,29,9,Security,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Security,31
493,493,29,10,Council,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Council,38
502,502,30,1,President,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,President,11
511,511,30,10,Israel,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Israel,11
548,548,32,7,Iran,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,Iran,6
574,574,35,6,President,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,President,11
577,577,35,9,Americans,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,American,13
611,611,39,4,Iranians,PROPN,PROPN,NOUN,NOUN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,Iranian,71
633,633,40,10,Falluja,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Falluja,64
635,635,40,12,pop.,NOUN,PROPN,NOUN,NOUN,NOUN,NOUN,VERB,NOUN,NOUN,NOUN,NOUN,pop.,-1
649,649,40,26,US,PROPN,PROPN,ADJ,ADJ,ADJ,ADJ,ADJ,PROPN,ADJ,ADJ,PROPN,US,3
654,654,40,31,Saturday,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Saturday,21
656,656,41,0,Reuters,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Reuters,59
673,673,41,17,Fallujah,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Fallujah,21
707,707,42,7,Fallujah,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Fallujah,21
715,715,42,15,Friday,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Friday,9
723,723,42,23,Fallujah,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,Fallujah,21
765,765,44,6,US,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,US,3
768,768,45,0,Falluja,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Falluja,64
778,778,45,10,US,PROPN,PROPN,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,US,3
784,784,45,16,Sunnis,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,Sunni,51
803,803,46,3,Falluja,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Falluja,64
808,808,46,8,Saddam,PROPN,PROPN,NOUN,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Saddam,24
839,839,47,17,Shiites,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Shiite,38
841,841,47,19,Kurds,PROPN,PROPN,NOUN,NOUN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Kurd,64
851,851,48,1,http://www.gulf-news.com/Articles/news.asp?ArticleID=97508,X,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,http://www.gulf-news.com/Articles/news.asp?ArticleID=97508,-1
853,853,49,1,Supreme,ADJ,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Supreme,-1
854,854,49,2,Court,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Court,32
860,860,49,8,Hamdan,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Hamdan,82
862,862,49,10,Rumsfeld,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Rumsfeld,42
868,868,49,16,John,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,John,9
869,869,49,17,Roberts,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Roberts,59
877,877,49,25,D.C.,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,D.C.,51
878,878,49,26,Circuit,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,Circuit,82
881,881,49,29,Anthony,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Anthony,45
882,882,49,30,Kennedy,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Kennedy,45
911,911,51,5,John,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,John,9
912,912,51,6,Paul,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Paul,19
