Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Mask_Tags_5
0,0,What,PRON,PRON,None
0,1,if,SCONJ,SCONJ,None
0,2,Google,PROPN,PROPN,None
0,3,Morphed,VERB,VERB,None
0,4,Into,ADP,ADP,None
0,5,GoogleOS,PROPN,PROPN,None
0,6,?,PUNCT,PUNCT,None
1,0,What,PRON,PRON,None
1,1,if,SCONJ,SCONJ,None
1,2,Google,PROPN,PROPN,None
1,3,expanded,VERB,VERB,None
1,4,on,ADP,ADP,None
1,5,its,PRON,PRON,None
1,6,search,NOUN,NOUN,None
1,7,-,PUNCT,PUNCT,None
1,8,engine,NOUN,NOUN,None
1,9,(,PUNCT,PUNCT,None
1,10,and,CCONJ,CCONJ,None
1,11,now,ADV,ADV,None
1,12,e-mail,NOUN,NOUN,None
1,13,),PUNCT,PUNCT,None
1,14,wares,NOUN,NOUN,None
1,15,into,ADP,ADP,None
1,16,a,DET,DET,None
1,17,full,ADV,ADV,None
1,18,-,PUNCT,PUNCT,None
1,19,fledged,ADJ,ADJ,None
1,20,operating,NOUN,NOUN,None
1,21,system,NOUN,NOUN,None
1,22,?,PUNCT,PUNCT,None
2,0,[,PUNCT,PUNCT,None
2,1,via,ADP,ADP,None
2,2,Microsoft,PROPN,PROPN,None
2,3,Watch,PROPN,PROPN,None
2,4,from,ADP,ADP,None
2,5,Mary,PROPN,PROPN,None
2,6,Jo,PROPN,PROPN,None
2,7,Foley,PROPN,PROPN,None
2,8,],PUNCT,PUNCT,None
3,0,(,PUNCT,PUNCT,None
3,1,And,CCONJ,CCONJ,None
3,2,",",PUNCT,PUNCT,None
3,3,by,ADP,ADP,None
3,4,the,DET,DET,None
3,5,way,NOUN,NOUN,None
3,6,",",PUNCT,PUNCT,None
3,7,is,AUX,AUX,None
3,8,anybody,PRON,PRON,None
3,9,else,ADJ,ADV,ADV
3,10,just,ADV,ADV,None
3,11,a,DET,DET,None
3,12,little,ADJ,ADJ,None
3,13,nostalgic,NOUN,ADJ,ADJ
3,14,for,ADP,ADP,None
3,15,the,DET,DET,None
3,16,days,NOUN,NOUN,None
3,17,when,ADV,SCONJ,SCONJ
3,18,that,PRON,PRON,None
3,19,was,AUX,AUX,None
3,20,a,DET,DET,None
3,21,good,ADJ,ADJ,None
3,22,thing,NOUN,NOUN,None
3,23,?,PUNCT,PUNCT,None
3,24,),PUNCT,PUNCT,None
4,0,This,DET,DET,None
4,1,BuzzMachine,PROPN,PROPN,None
4,2,post,NOUN,NOUN,None
4,3,argues,VERB,VERB,None
4,4,that,SCONJ,SCONJ,None
4,5,Google,PROPN,PROPN,None
4,6,'s,PART,PART,None
4,7,rush,NOUN,NOUN,None
4,8,toward,ADP,ADP,None
4,9,ubiquity,NOUN,NOUN,None
4,10,might,AUX,AUX,None
4,11,backfire,VERB,VERB,None
4,12,--,PUNCT,PUNCT,None
4,13,which,PRON,PRON,None
4,14,we,PRON,PRON,None
4,15,'ve,AUX,AUX,None
4,16,all,ADV,ADV,None
4,17,heard,VERB,VERB,None
4,18,before,ADV,ADV,None
4,19,",",PUNCT,PUNCT,None
4,20,but,CCONJ,CCONJ,None
4,21,it,PRON,PRON,None
4,22,'s,AUX,AUX,None
4,23,particularly,ADV,ADV,None
4,24,well,ADV,ADV,None
4,25,-,PUNCT,PUNCT,None
4,26,put,VERB,VERB,None
4,27,in,ADP,ADP,None
4,28,this,DET,DET,None
4,29,post,NOUN,NOUN,None
4,30,.,PUNCT,PUNCT,None
5,0,Google,PROPN,PROPN,None
5,1,is,AUX,AUX,None
5,2,a,DET,DET,None
5,3,nice,ADJ,ADJ,None
5,4,search,NOUN,NOUN,None
5,5,engine,NOUN,NOUN,None
5,6,.,PUNCT,PUNCT,None
6,0,Does,AUX,AUX,None
6,1,anybody,PRON,PRON,None
6,2,use,VERB,VERB,None
6,3,it,PRON,PRON,None
6,4,for,ADP,ADP,None
6,5,anything,PRON,PRON,None
6,6,else,ADJ,ADV,ADJ
6,7,?,PUNCT,PUNCT,None
7,0,They,PRON,PRON,None
7,1,own,VERB,VERB,None
7,2,blogger,PROPN,NOUN,PRON
7,3,",",PUNCT,PUNCT,None
7,4,of,ADP,ADP,None
7,5,course,NOUN,NOUN,None
7,6,.,PUNCT,PUNCT,None
8,0,Is,AUX,AUX,None
8,1,that,PRON,PRON,None
8,2,a,DET,DET,None
8,3,money,NOUN,NOUN,None
8,4,maker,NOUN,NOUN,None
8,5,?,PUNCT,PUNCT,None
9,0,I,PRON,PRON,None
9,1,'m,AUX,AUX,None
9,2,staying,VERB,VERB,None
9,3,away,ADV,ADV,None
9,4,from,ADP,ADP,None
9,5,the,DET,DET,None
9,6,stock,NOUN,NOUN,None
9,7,.,PUNCT,PUNCT,None
10,0,I,PRON,PRON,None
10,1,doubt,VERB,VERB,None
