word,VERB_count,VERB%,PROPN_count,PROPN%,NOUN_count,NOUN%,ADJ_count,ADJ%,open class pos / total,total open class
have,62038,0.9997904949154728,0,0.0,13,0.0002095050845272437,0,0.0,0.6269360949734781,62051
be,16589,0.9850365180214952,0,0.0,252,0.014963481978504839,0,0.0,0.04419258847177248,16841
find,10276,0.9970890743256355,0,0.0,30,0.002910925674364448,0,0.0,1.0,10306
page,11,0.007818052594171997,7,0.004975124378109453,1389,0.9872068230277186,0,0.0,0.9957537154989384,1407
mb,1,0.010869565217391304,22,0.2391304347826087,69,0.75,0,0.0,0.9484536082474226,92
file,150,0.2546689303904924,0,0.0,439,0.7453310696095077,0,0.0,0.9966159052453468,589
now,3,0.375,3,0.375,2,0.25,0,0.0,0.0003960788196851173,8
wait,4429,0.968087431693989,4,0.0008743169398907104,137,0.02994535519125683,5,0.001092896174863388,0.9982544185031639,4575
team,25,0.01441753171856978,5,0.0028835063437139563,1704,0.9826989619377162,0,0.0,0.9994236311239193,1734
process,60,0.06486486486486487,0,0.0,865,0.9351351351351351,0,0.0,1.0,925
it,1,0.05555555555555555,2,0.1111111111111111,15,0.8333333333333334,0,0.0,0.00014706002500020426,18
learn,2951,0.9876171352074966,0,0.0,36,0.012048192771084338,1,0.00033467202141900936,0.9993311036789297,2988
member,1,0.0009267840593141798,2,0.0018535681186283596,1076,0.9972196478220574,0,0.0,1.0,1079
urllink,2110,0.1475318137323451,2262,0.15815969794434345,5831,0.4077052160536988,4099,0.28660327226961263,0.6524932706784069,14302
mail,218,0.1874462596732588,7,0.0060189165950128975,938,0.8065348237317282,0,0.0,1.0,1163
how,3,0.21428571428571427,0,0.0,11,0.7857142857142857,0,0.0,0.0008147113594040968,14
build,924,0.9575129533678757,0,0.0,41,0.04248704663212435,0,0.0,0.9958720330237358,965
bomb,47,0.1492063492063492,1,0.0031746031746031746,267,0.8476190476190476,0,0.0,0.9936908517350158,315
andrew,5,0.008756567425569177,563,0.9859894921190894,3,0.005253940455341506,0,0.0,0.9878892733564014,571
scott,3,0.009868421052631578,299,0.9835526315789473,2,0.006578947368421052,0,0.0,0.9934640522875817,304
subject,56,0.06779661016949153,5,0.006053268765133172,704,0.8523002421307506,61,0.07384987893462469,1.0,826
date,474,0.3013350286077559,5,0.003178639542275906,1091,0.6935791481246026,3,0.0019071837253655435,0.9949399114484504,1573
 ,4,0.16666666666666666,0,0.0,20,0.8333333333333334,0,0.0,0.0004508820379868117,24
seem,5903,0.9994920419911953,0,0.0,1,0.00016931933626820184,2,0.0003386386725364037,0.9998307093279161,5906
',73,0.17257683215130024,122,0.28841607565011823,226,0.5342789598108747,2,0.004728132387706856,0.005114501970836457,423
format,35,0.19886363636363635,0,0.0,140,0.7954545454545454,1,0.005681818181818182,1.0,176
corrupted,1,0.1,0,0.0,0,0.0,9,0.9,1.0,10
add,1832,0.9870689655172413,0,0.0,24,0.01293103448275862,0,0.0,0.9973132724341752,1856
text,14,0.040345821325648415,3,0.008645533141210375,330,0.9510086455331412,0,0.0,1.0,347
examine,100,0.9900990099009901,0,0.0,1,0.009900990099009901,0,0.0,1.0,101
like,8497,0.9461084511747021,3,0.00033403852577663955,91,0.010132501948558068,390,0.04342500835096314,0.2408033033033033,8981
miss,3764,0.9563008130081301,44,0.011178861788617886,81,0.020579268292682928,47,0.011941056910569106,0.9867134620205565,3936
if,1,0.07142857142857142,0,0.0,13,0.9285714285714286,0,0.0,0.0005366863451659894,14
full,2,0.0009298000929800093,0,0.0,2,0.0009298000929800093,2147,0.99814039981404,0.9885110294117647,2151
please,130,0.8904109589041096,1,0.00684931506849315,7,0.04794520547945205,8,0.0547945205479452,0.06274172754619682,146
distribute,97,0.9797979797979798,0,0.0,2,0.020202020202020204,0,0.0,1.0,99
convert,110,0.9243697478991597,0,0.0,9,0.07563025210084033,0,0.0,1.0,119
do,33189,0.9959189797449363,9,0.0002700675168792198,64,0.0019204801200300074,63,0.0018904726181545387,0.3928584059320735,33325
spell,354,0.718052738336714,1,0.002028397565922921,138,0.2799188640973631,0,0.0,0.9919517102615694,493
checking,2,0.0625,0,0.0,30,0.9375,0,0.0,1.0,32
edit,268,0.7362637362637363,0,0.0,96,0.26373626373626374,0,0.0,0.9680851063829787,364
