,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma
0,0,0,What,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,SCONJ,SCONJ,what
1,0,1,if,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,AUX,AUX,if
2,0,2,Google,PROPN,PROPN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,Google
3,0,3,Morphed,VERB,VERB,PROPN,PROPN,PROPN,VERB,VERB,VERB,PROPN,PROPN,PROPN,morph
4,0,4,Into,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,into
5,0,5,GoogleOS,PROPN,PROPN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,GoogleOS
6,0,6,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,?
7,1,0,What,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,what
8,1,1,if,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,if
9,1,2,Google,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Google
10,1,3,expanded,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,expand
11,1,4,on,ADP,ADP,DET,DET,ADP,ADP,ADP,ADP,ADP,ADP,ADP,on
12,1,5,its,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,its
13,1,6,search,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,search
14,1,7,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,-
15,1,8,engine,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,engine
16,1,9,(,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,(
17,1,10,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,and
18,1,11,now,ADV,ADV,PUNCT,PUNCT,ADV,ADV,ADV,ADV,ADV,ADV,ADV,now
19,1,12,e-mail,NOUN,NOUN,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,e-mail
20,1,13,),PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,)
21,1,14,wares,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,wares
22,1,15,into,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,into
23,1,16,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a
24,1,17,full,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,full
25,1,18,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,-
26,1,19,fledged,ADJ,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,fledged
27,1,20,operating,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,operating
28,1,21,system,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,system
29,1,22,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,?
30,2,0,[,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,X,NOUN,NOUN,NOUN,NOUN,NOUN,[
31,2,1,via,ADP,ADP,DET,DET,DET,DET,DET,DET,DET,DET,DET,via
32,2,2,Microsoft,PROPN,PROPN,PUNCT,PUNCT,PUNCT,DET,DET,DET,DET,DET,DET,Microsoft
33,2,3,Watch,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Watch
34,2,4,from,ADP,ADP,SYM,SYM,SYM,SYM,CCONJ,PUNCT,PUNCT,PUNCT,PUNCT,from
35,2,5,Mary,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Mary
36,2,6,Jo,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Jo
37,2,7,Foley,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Foley
38,2,8,],PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,]
39,3,0,(,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,(
40,3,1,And,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,and
41,3,2,",",PUNCT,PUNCT,PUNCT,PUNCT,ADV,ADV,ADV,ADV,ADV,ADV,ADV,","
42,3,3,by,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,by
43,3,4,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the
44,3,5,way,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,way
45,3,6,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,","
46,3,7,is,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,be
47,3,8,anybody,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,anybody
48,3,9,else,ADJ,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,else
49,3,10,just,ADV,ADV,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,ADV,just
50,3,11,a,DET,DET,DET,DET,DET,DET,DET,DET,ADV,ADV,VERB,a
51,3,12,little,ADJ,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,little
52,3,13,nostalgic,NOUN,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,nostalgic
53,3,14,for,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,for
54,3,15,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,ADJ,the
55,3,16,days,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,day
56,3,17,when,ADV,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,when
57,3,18,that,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,NOUN,PRON,NOUN,that
58,3,19,was,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,VERB,VERB,VERB,be
59,3,20,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a
60,3,21,good,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,good
61,3,22,thing,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,thing
62,3,23,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,?
63,3,24,),PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,)
64,4,0,This,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,this
65,4,1,BuzzMachine,PROPN,PROPN,NOUN,NOUN,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,BuzzMachine
66,4,2,post,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,post
67,4,3,argues,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,argue
68,4,4,that,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,that
69,4,5,Google,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Google
70,4,6,'s,PART,PART,PART,PART,PART,PART,PART,PART,PART,PART,PART,'s
