Word,POS_Tag,Sentence_Count,Token_ID
What,PRON,0,0
if,SCONJ,0,1
Google,PROPN,0,2
Morphed,VERB,0,3
Into,ADP,0,4
GoogleOS,PROPN,0,5
?,PUNCT,0,6
What,PRON,1,0
if,SCONJ,1,1
Google,PROPN,1,2
expanded,VERB,1,3
on,ADP,1,4
its,PRON,1,5
search,NOUN,1,6
-,PUNCT,1,7
engine,NOUN,1,8
(,PUNCT,1,9
and,CCONJ,1,10
now,ADV,1,11
e-mail,NOUN,1,12
),PUNCT,1,13
wares,NOUN,1,14
into,ADP,1,15
a,DET,1,16
full,ADV,1,17
-,PUNCT,1,18
fledged,ADJ,1,19
operating,NOUN,1,20
system,NOUN,1,21
?,PUNCT,1,22
[,PUNCT,2,0
via,ADP,2,1
Microsoft,PROPN,2,2
Watch,PROPN,2,3
from,ADP,2,4
Mary,PROPN,2,5
Jo,PROPN,2,6
Foley,PROPN,2,7
],PUNCT,2,8
(,PUNCT,3,0
And,CCONJ,3,1
",",PUNCT,3,2
by,ADP,3,3
the,DET,3,4
way,NOUN,3,5
",",PUNCT,3,6
is,AUX,3,7
anybody,PRON,3,8
else,ADV,3,9
just,ADV,3,10
a,DET,3,11
little,ADJ,3,12
nostalgic,ADJ,3,13
for,ADP,3,14
the,DET,3,15
days,NOUN,3,16
when,SCONJ,3,17
that,PRON,3,18
was,AUX,3,19
a,DET,3,20
good,ADJ,3,21
thing,NOUN,3,22
?,PUNCT,3,23
),PUNCT,3,24
This,DET,4,0
BuzzMachine,PROPN,4,1
post,NOUN,4,2
argues,VERB,4,3
that,SCONJ,4,4
Google,PROPN,4,5
's,PART,4,6
rush,NOUN,4,7
toward,ADP,4,8
ubiquity,NOUN,4,9
might,AUX,4,10
backfire,VERB,4,11
--,PUNCT,4,12
which,PRON,4,13
we,PRON,4,14
've,AUX,4,15
all,ADV,4,16
heard,VERB,4,17
before,ADV,4,18
",",PUNCT,4,19
but,CCONJ,4,20
it,PRON,4,21
's,AUX,4,22
particularly,ADV,4,23
well,ADV,4,24
-,PUNCT,4,25
put,VERB,4,26
in,ADP,4,27
this,DET,4,28
post,NOUN,4,29
.,PUNCT,4,30
Google,PROPN,5,0
is,AUX,5,1
a,DET,5,2
nice,ADJ,5,3
search,NOUN,5,4
engine,NOUN,5,5
.,PUNCT,5,6
Does,AUX,6,0
anybody,PRON,6,1
use,VERB,6,2
it,PRON,6,3
for,ADP,6,4
anything,PRON,6,5
else,ADV,6,6
?,PUNCT,6,7
They,PRON,7,0
own,VERB,7,1
blogger,NOUN,7,2
",",PUNCT,7,3
of,ADP,7,4
course,NOUN,7,5
.,PUNCT,7,6
Is,AUX,8,0
that,PRON,8,1
a,DET,8,2
money,NOUN,8,3
maker,NOUN,8,4
?,PUNCT,8,5
I,PRON,9,0
'm,AUX,9,1
staying,VERB,9,2
away,ADV,9,3
from,ADP,9,4
the,DET,9,5
stock,NOUN,9,6
.,PUNCT,9,7
I,PRON,10,0
doubt,VERB,10,1
the,DET,10,2
very,ADV,10,3
few,ADJ,10,4
who,PRON,10,5
actually,ADV,10,6
read,VERB,10,7
my,PRON,10,8
blog,NOUN,10,9
have,AUX,10,10
not,PART,10,11
come,VERB,10,12
across,ADP,10,13
this,PRON,10,14
yet,ADV,10,15
",",PUNCT,10,16
but,CCONJ,10,17
I,PRON,10,18
figured,VERB,10,19
I,PRON,10,20
would,AUX,10,21
put,VERB,10,22
it,PRON,10,23
out,ADV,10,24
there,ADV,10,25
anyways,ADV,10,26
.,PUNCT,10,27
John,PROPN,11,0
Donovan,PROPN,11,1
from,ADP,11,2
Argghhh!,PROPN,11,3
has,AUX,11,4
put,VERB,11,5
out,ADP,11,6
a,DET,11,7
excellent,ADJ,11,8
slide,NOUN,11,9
show,NOUN,11,10
on,ADP,11,11
what,PRON,11,12
was,AUX,11,13
actually,ADV,11,14
found,VERB,11,15
and,CCONJ,11,16
fought,VERB,11,17
for,ADP,11,18
in,ADP,11,19
Fallujah,PROPN,11,20
.,PUNCT,11,21
Click,VERB,12,0
here,ADV,12,1
To,PART,12,2
view,VERB,12,3
it,PRON,12,4
.,PUNCT,12,5
He,PRON,13,0
makes,VERB,13,1
some,DET,13,2
good,ADJ,13,3
observations,NOUN,13,4
on,ADP,13,5
a,DET,13,6
few,ADJ,13,7
of,ADP,13,8
the,DET,13,9
pic's,PROPN,13,10
.,PUNCT,13,11
One,NUM,14,0
of,ADP,14,1
the,DET,14,2
pictures,NOUN,14,3
shows,VERB,14,4
a,DET,14,5
flag,NOUN,14,6
that,PRON,14,7
was,AUX,14,8
found,VERB,14,9
in,ADP,14,10
Fallujah,PROPN,14,11
.,PUNCT,14,12
On,ADP,15,0
the,DET,15,1
next,ADJ,15,2
two,NUM,15,3
pictures,NOUN,15,4
he,PRON,15,5
took,VERB,15,6
screenshots,NOUN,15,7
of,ADP,15,8
two,NUM,15,9
beheading,VERB,15,10
