Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Mask_Tags,Combined_Algorithm_Tags
0,0,What,PRON,PRON,,PRON
0,1,if,SCONJ,SCONJ,,SCONJ
0,2,Google,PROPN,PROPN,,PROPN
0,3,Morphed,VERB,VERB,,VERB
0,4,Into,ADP,ADP,,ADP
0,5,GoogleOS,PROPN,PROPN,,PROPN
0,6,?,PUNCT,PUNCT,,PUNCT
1,0,What,PRON,PRON,,PRON
1,1,if,SCONJ,SCONJ,,SCONJ
1,2,Google,PROPN,PROPN,,PROPN
1,3,expanded,VERB,VERB,,VERB
1,4,on,ADP,ADP,,ADP
1,5,its,PRON,PRON,,PRON
1,6,search,NOUN,NOUN,,NOUN
1,7,-,PUNCT,PUNCT,,PUNCT
1,8,engine,NOUN,NOUN,,NOUN
1,9,(,PUNCT,PUNCT,,PUNCT
1,10,and,CCONJ,CCONJ,,CCONJ
1,11,now,ADV,ADV,,ADV
1,12,e-mail,NOUN,NOUN,,NOUN
1,13,),PUNCT,PUNCT,,PUNCT
1,14,wares,NOUN,NOUN,,NOUN
1,15,into,ADP,ADP,,ADP
1,16,a,DET,DET,,DET
1,17,full,ADV,ADV,,ADV
1,18,-,PUNCT,PUNCT,,PUNCT
1,19,fledged,ADJ,ADJ,,ADJ
1,20,operating,NOUN,NOUN,,NOUN
1,21,system,NOUN,NOUN,,NOUN
1,22,?,PUNCT,PUNCT,,PUNCT
2,0,[,PUNCT,PUNCT,,PUNCT
2,1,via,ADP,ADP,,ADP
2,2,Microsoft,PROPN,PROPN,,PROPN
2,3,Watch,PROPN,PROPN,,PROPN
2,4,from,ADP,ADP,,ADP
2,5,Mary,PROPN,PROPN,,PROPN
2,6,Jo,PROPN,PROPN,,PROPN
2,7,Foley,PROPN,PROPN,,PROPN
2,8,],PUNCT,PUNCT,,PUNCT
3,0,(,PUNCT,PUNCT,,PUNCT
3,1,And,CCONJ,CCONJ,,CCONJ
3,2,",",PUNCT,PUNCT,,PUNCT
3,3,by,ADP,ADP,,ADP
3,4,the,DET,DET,,DET
3,5,way,NOUN,NOUN,,NOUN
3,6,",",PUNCT,PUNCT,,PUNCT
3,7,is,AUX,AUX,,AUX
3,8,anybody,PRON,PRON,,PRON
3,9,else,ADJ,ADV,ADV,ADV
3,10,just,ADV,ADV,,ADV
3,11,a,DET,DET,,DET
3,12,little,ADJ,ADJ,,ADJ
3,13,nostalgic,NOUN,ADJ,ADJ,ADJ
3,14,for,ADP,ADP,,ADP
3,15,the,DET,DET,,DET
3,16,days,NOUN,NOUN,,NOUN
3,17,when,ADV,SCONJ,SCONJ,SCONJ
3,18,that,PRON,PRON,,PRON
3,19,was,AUX,AUX,,AUX
3,20,a,DET,DET,,DET
3,21,good,ADJ,ADJ,,ADJ
3,22,thing,NOUN,NOUN,,NOUN
3,23,?,PUNCT,PUNCT,,PUNCT
3,24,),PUNCT,PUNCT,,PUNCT
4,0,This,DET,DET,,DET
4,1,BuzzMachine,PROPN,PROPN,,PROPN
4,2,post,NOUN,NOUN,,NOUN
4,3,argues,VERB,VERB,,VERB
4,4,that,SCONJ,SCONJ,,SCONJ
4,5,Google,PROPN,PROPN,,PROPN
4,6,'s,PART,PART,,PART
4,7,rush,NOUN,NOUN,,NOUN
4,8,toward,ADP,ADP,,ADP
4,9,ubiquity,NOUN,NOUN,,NOUN
4,10,might,AUX,AUX,,AUX
4,11,backfire,VERB,VERB,,VERB
4,12,--,PUNCT,PUNCT,,PUNCT
4,13,which,PRON,PRON,,PRON
4,14,we,PRON,PRON,,PRON
4,15,'ve,AUX,AUX,,AUX
4,16,all,ADV,ADV,,ADV
4,17,heard,VERB,VERB,,VERB
4,18,before,ADV,ADV,,ADV
4,19,",",PUNCT,PUNCT,,PUNCT
4,20,but,CCONJ,CCONJ,,CCONJ
4,21,it,PRON,PRON,,PRON
4,22,'s,AUX,AUX,,AUX
4,23,particularly,ADV,ADV,,ADV
4,24,well,ADV,ADV,,ADV
4,25,-,PUNCT,PUNCT,,PUNCT
4,26,put,VERB,VERB,,VERB
4,27,in,ADP,ADP,,ADP
4,28,this,DET,DET,,DET
4,29,post,NOUN,NOUN,,NOUN
4,30,.,PUNCT,PUNCT,,PUNCT
5,0,Google,PROPN,PROPN,,PROPN
5,1,is,AUX,AUX,,AUX
5,2,a,DET,DET,,DET
5,3,nice,ADJ,ADJ,,ADJ
5,4,search,NOUN,NOUN,,NOUN
5,5,engine,NOUN,NOUN,,NOUN
5,6,.,PUNCT,PUNCT,,PUNCT
6,0,Does,AUX,AUX,,AUX
6,1,anybody,PRON,PRON,,PRON
6,2,use,VERB,VERB,,VERB
6,3,it,PRON,PRON,,PRON
6,4,for,ADP,ADP,,ADP
6,5,anything,PRON,PRON,,PRON
6,6,else,ADJ,ADV,ADJ,ADV
6,7,?,PUNCT,PUNCT,,PUNCT
7,0,They,PRON,PRON,,PRON
7,1,own,VERB,VERB,,VERB
7,2,blogger,PROPN,NOUN,PRON,NOUN
7,3,",",PUNCT,PUNCT,,PUNCT
7,4,of,ADP,ADP,,ADP
7,5,course,NOUN,NOUN,,NOUN
7,6,.,PUNCT,PUNCT,,PUNCT
8,0,Is,AUX,AUX,,AUX
8,1,that,PRON,PRON,,PRON
8,2,a,DET,DET,,DET
8,3,money,NOUN,NOUN,,NOUN
8,4,maker,NOUN,NOUN,,NOUN
8,5,?,PUNCT,PUNCT,,PUNCT
9,0,I,PRON,PRON,,PRON
9,1,'m,AUX,AUX,,AUX
9,2,staying,VERB,VERB,,VERB
9,3,away,ADV,ADV,,ADV
9,4,from,ADP,ADP,,ADP
9,5,the,DET,DET,,DET
9,6,stock,NOUN,NOUN,,NOUN
9,7,.,PUNCT,PUNCT,,PUNCT
10,0,I,PRON,PRON,,PRON
10,1,doubt,VERB,VERB,,VERB
10,2,the,DET,DET,,DET
10,3,very,ADV,ADV,,ADV
10,4,few,ADJ,ADJ,,ADJ
10,5,who,PRON,PRON,,PRON
10,6,actually,ADV,ADV,,ADV
10,7,read,VERB,VERB,,VERB
10,8,my,PRON,PRON,,PRON
10,9,blog,NOUN,NOUN,,NOUN
10,10,have,AUX,AUX,,AUX
10,11,not,PART,PART,,PART
10,12,come,VERB,VERB,,VERB
10,13,across,ADP,ADP,,ADP
10,14,this,PRON,PRON,,PRON
10,15,yet,ADV,ADV,,ADV
10,16,",",PUNCT,PUNCT,,PUNCT
10,17,but,CCONJ,CCONJ,,CCONJ
10,18,I,PRON,PRON,,PRON
10,19,figured,VERB,VERB,,VERB
10,20,I,PRON,PRON,,PRON
10,21,would,AUX,AUX,,AUX
10,22,put,VERB,VERB,,VERB
10,23,it,PRON,PRON,,PRON
10,24,out,ADV,ADV,,ADV
10,25,there,ADV,ADV,,ADV
10,26,anyways,ADV,ADV,,ADV
10,27,.,PUNCT,PUNCT,,PUNCT
11,0,John,PROPN,PROPN,,PROPN
11,1,Donovan,PROPN,PROPN,,PROPN
11,2,from,ADP,ADP,,ADP
11,3,Argghhh!,PROPN,PROPN,,PROPN
11,4,has,AUX,AUX,,AUX
11,5,put,VERB,VERB,,VERB
11,6,out,ADP,ADP,,ADP
11,7,a,DET,DET,,DET
11,8,excellent,ADJ,ADJ,,ADJ
11,9,slide,NOUN,NOUN,,NOUN
11,10,show,NOUN,NOUN,,NOUN
11,11,on,SCONJ,ADP,ADP,ADP
11,12,what,PRON,PRON,,PRON
11,13,was,AUX,AUX,,AUX
11,14,actually,ADV,ADV,,ADV
11,15,found,VERB,VERB,,VERB
11,16,and,CCONJ,CCONJ,,CCONJ
