,Unnamed: 0,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9
0,0,0,0,What,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,SCONJ,SCONJ,what,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
1,1,0,1,if,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,AUX,AUX,if,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ
2,2,0,2,Google,PROPN,PROPN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,Google,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
3,3,0,3,Morphed,VERB,VERB,PROPN,PROPN,PROPN,VERB,VERB,VERB,PROPN,PROPN,PROPN,morph,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
4,4,0,4,Into,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,into,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
5,5,0,5,GoogleOS,PROPN,PROPN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,GoogleOS,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
6,6,0,6,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
7,7,1,0,What,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,what,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
8,8,1,1,if,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,if,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ
9,9,1,2,Google,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Google,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
10,10,1,3,expanded,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,expand,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
11,11,1,4,on,ADP,ADP,DET,DET,ADP,ADP,ADP,ADP,ADP,ADP,ADP,on,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
12,12,1,5,its,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,its,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
13,13,1,6,search,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,search,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
14,14,1,7,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
15,15,1,8,engine,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,engine,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
16,16,1,9,(,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,(,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
17,17,1,10,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ
18,18,1,11,now,ADV,ADV,PUNCT,PUNCT,ADV,ADV,ADV,ADV,ADV,ADV,ADV,now,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV
19,19,1,12,e-mail,NOUN,NOUN,PROPN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,e-mail,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
20,20,1,13,),PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,),PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
21,21,1,14,wares,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,wares,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
22,22,1,15,into,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,into,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
23,23,1,16,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,DET,DET,DET,DET,DET,DET,DET,DET,DET
24,24,1,17,full,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,full,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV
25,25,1,18,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
26,26,1,19,fledged,ADJ,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,fledged,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ
27,27,1,20,operating,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,operating,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
28,28,1,21,system,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,system,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
29,29,1,22,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
30,30,2,0,[,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,X,NOUN,NOUN,NOUN,NOUN,NOUN,[,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
31,31,2,1,via,ADP,ADP,DET,DET,DET,DET,DET,DET,DET,DET,DET,via,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
32,32,2,2,Microsoft,PROPN,PROPN,PUNCT,PUNCT,PUNCT,DET,DET,DET,DET,DET,DET,Microsoft,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
33,33,2,3,Watch,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Watch,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
34,34,2,4,from,ADP,ADP,SYM,SYM,SYM,SYM,CCONJ,PUNCT,PUNCT,PUNCT,PUNCT,from,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
35,35,2,5,Mary,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Mary,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
36,36,2,6,Jo,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Jo,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
37,37,2,7,Foley,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Foley,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
38,38,2,8,],PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,],PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
39,39,3,0,(,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,(,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
40,40,3,1,And,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ
41,41,3,2,",",PUNCT,PUNCT,PUNCT,PUNCT,ADV,ADV,ADV,ADV,ADV,ADV,ADV,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
42,42,3,3,by,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,by,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
43,43,3,4,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the,DET,DET,DET,DET,DET,DET,DET,DET,DET
44,44,3,5,way,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,way,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
45,45,3,6,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
46,46,3,7,is,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,be,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
47,47,3,8,anybody,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,anybody,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
48,48,3,9,else,ADJ,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,else,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV
49,49,3,10,just,ADV,ADV,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,ADV,just,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV
50,50,3,11,a,DET,DET,DET,DET,DET,DET,DET,DET,ADV,ADV,VERB,a,DET,DET,DET,DET,DET,DET,DET,DET,DET
51,51,3,12,little,ADJ,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,little,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ
52,52,3,13,nostalgic,NOUN,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,nostalgic,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ
53,53,3,14,for,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,for,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
54,54,3,15,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,ADJ,the,DET,DET,DET,DET,DET,DET,DET,DET,DET
55,55,3,16,days,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,day,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
56,56,3,17,when,ADV,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,when,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ
57,57,3,18,that,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,NOUN,PRON,NOUN,that,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
58,58,3,19,was,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,VERB,VERB,VERB,be,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
59,59,3,20,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,DET,DET,DET,DET,DET,DET,DET,DET,DET
60,60,3,21,good,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,good,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ
61,61,3,22,thing,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,thing,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
62,62,3,23,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
63,63,3,24,),PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,),PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
64,64,4,0,This,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,this,DET,DET,DET,DET,DET,DET,DET,DET,DET
