lemma (V),sentence,dobj,dobj index
watch,"I do, however, watch about 20-25 movies a year on the plane, which is cool because singapore air has individual monitors with on-demand tv and movies for all passengers.",movies,10
watch,"Voyager (ya, still have jetlag...watching anything that hits the screen here).",anything,9
watch,"Then i got to thinking (well, it came to me while watching a kia ad) that morning is everywhere in korea.",ad,16
watch,"Recently i watched  urllink hi, dharma!",hi,5
watch,I watched it all that morning.,it,2
watch,I look back to see you watching me...,me,7
watch,hmm i like this book lol newas gota go watch the match!,match,11
watch,cos there's no maths and practical required..our first homework for crs was to watch spiderman 2..can u believe it??,spiderman,17
watch,"plus my dad was watching tv..so noisy, can't hear myself.",tv,5
watch,"that is, maybe have a biscuit and watch the tv for a while.",tv,10
watch,i am watching films recommended to me by my therapist.,films,3
watch,"today i watched four buses of the other company roll past, and then on another occasion three, before one i could use came by.",buses,4
watch,"you can watch them on that link, if you like, but i nipped down to a local cinema to watch them on the big (ish) screen: a cinema with a small bench seat, the whole thing measuring 2 cubic metres.",them,3
watch,"you can watch them on that link, if you like, but i nipped down to a local cinema to watch them on the big (ish) screen: a cinema with a small bench seat, the whole thing measuring 2 cubic metres.",them,22
watch,"you can watch them on that link, if you like, but i nipped down to a local cinema to watch them on the big (ish) screen: a cinema with a small bench seat, the whole thing measuring 2 cubic metres.",cinema,32
watch,"Always searching for the youth, the secret of eternal life....dealing with a whole other area of medicine that will become the focus of all our healthcare dollars even more so...'geriatrics' i love my lil grandma dearly but it is so hard to watch her age, she was born in 1918 the year influenza b swept across north america and killed so many.",age,50
watch,"I can't wait for my daughter to get here to watch her brother... its extremely dark in my bedroom, and its nice and cool,(maybe i lived in a cave in a former life????)",brother,13
watch,"the deer'  eyes darted ears perked  shuffling sound of dead leaves, fingers of the frigid wind caressed the innocent soul  muscles and sinews tensed watchful eyes watched its prey and wolves howl in triumphant dark clouds shrouded the moon shadows danced back and forth signalling the end",prey,34
watch,"However it wasn't all good, i had to put the game system together before i could play the game and even then my step dad was watching the whole time grunting about wanting to watch tv.",tv,37
watch,"He pulls around in a parking lot and waits for a few seconds watching me, then he leaves and goes up the street out of sight.",me,14
