verb,frequency
think,1018
know,955
go,906
get,762
want,534
come,520
say,451
look,428
find,361
feel,349
tell,329
take,321
like,312
try,310
love,304
need,296
mean,292
play,290
see,284
start,280
read,277
leave,260
work,246
talk,244
guess,235
ask,218
live,210
watch,201
eat,196
make,191
happen,186
let,186
write,177
walk,171
buy,168
turn,166
run,164
hear,158
call,154
help,146
wait,144
give,141
remember,141
hope,141
use,140
have,136
stop,131
nt,126
spend,123
bring,122
pay,122
end,121
sit,120
believe,119
meet,114
hate,114
wonder,113
stay,112
miss,107
decide,106
lose,106
learn,104
check,103
change,100
pick,100
fall,96
drive,95
speak,94
hit,93
stand,87
wish,87
win,86
figure,85
send,82
hold,81
begin,81
listen,80
realize,78
wake,76
die,75
sleep,73
add,72
suppose,72
catch,72
laugh,72
enjoy,71
forget,70
understand,70
sound,67
finish,67
show,66
expect,65
follow,64
move,64
s,64
wear,63
keep,63
pass,62
grow,62
suck,62
open,61
post,61
thank,60
break,60
set,59
care,59
hang,59
plan,57
pull,56
share,55
consider,55
cut,55
kill,55
imagine,53
notice,52
create,51
include,50
save,50
throw,50
cry,50
sell,49
mention,49
stick,46
drink,45
m,45
drop,44
return,44
lie,43
explain,42
fill,41
choose,41
hurt,41
carry,40
remind,39
continue,39
teach,38
name,38
lead,38
shoot,38
fly,37
beat,37
arrive,37
marry,37
smile,37
receive,36
visit,36
bear,35
build,34
cover,33
face,33
blow,33
enter,33
steal,32
count,32
dance,32
manage,32
cause,31
allow,31
provide,30
sing,30
head,30
serve,30
mind,30
close,30
push,29
travel,29
reach,29
act,29
cook,28
worry,28
depend,28
answer,28
sign,28
fail,28
appear,28
fight,28
deserve,27
clean,27
pop,27
realise,27
jump,26
join,26
bother,26
accept,26
put,25
raise,25
describe,25
rock,25
prepare,25
burn,25
step,25
kick,25
fix,25
accord,24
place,24
complete,24
click,24
roll,24
prove,24
update,24
hide,24
develop,24
type,24
involve,23
settle,23
compare,23
apply,23
reply,23
slide,23
handle,22
study,22
order,22
tend,22
point,22
repeat,21
complain,21
deal,21
draw,21
lay,21
wash,21
admit,21
ride,21
support,20
matter,20
ignore,20
base,20
trust,20
waste,20
crash,20
smell,20
touch,20
pee,20
shake,20
hand,20
require,19
avoid,19
fit,19
note,19
eliminate,19
swim,19
scare,19
agree,19
hire,19
shut,19
mark,18
recommend,18
shop,18
kid,18
treat,18
offer,18
strike,18
claim,18
fade,18
relate,17
mix,17
land,17
form,17
slip,17
pray,17
knock,17
charge,17
stare,17
attach,16
increase,16
surround,16
assume,16
refer,16
dunno,16
gain,16
light,16
ring,16
state,16
search,16
scream,16
enrich,15
remove,15
introduce,15
inspire,15
control,15
approach,15
breathe,15
promise,15
taste,15
dress,15
kiss,15
force,15
grab,15
fear,15
tear,15
shout,15
shine,15
bite,15
prefer,14
cost,14
rise,14
produce,14
feed,14
connect,14
collect,14
reveal,14
match,14
praise,14
cross,14
fuck,14
discover,14
rush,14
hop,14
appreciate,13
comment,13
rest,13
discuss,13
struggle,13
yell,13
release,12
exist,12
separate,12
consume,12
hook,12
rent,12
email,12
owe,12
blogge,12
invite,12
rain,12
forgive,12
drag,12
nod,12
celebrate,12
switch,12
guarantee,12
crack,12
dig,12
bore,12
park,12
comme,12
own,11
pack,11
explore,11
attract,11
concern,11
flow,11
educate,11
suspect,11
commit,11
gather,11
fire,11
respect,11
spell,11
bend,11
perform,11
lock,11
freeze,11
hug,11
dream,11
paint,11
smoke,11
chat,11
got,11
respond,11
annoy,11
surprise,11
singe,11
interrupt,11
climb,11
brush,11
sigh,11
interact,11
couple,11
mess,11
golf,11
date,10
convert,10
destroy,10
emerge,10
convince,10
quote,10
survive,10
recover,10
vote,10
bless,10
impress,10
define,10
practice,10
locate,10
promote,10
invent,10
feature,10
confirm,10
proceed,10
stumble,10
recognize,10
screw,10
race,10
suffer,10
bet,10
confess,10
recognise,10
signal,10
link,10
declare,10
cheer,10
pretend,10
copy,10
wrap,10
seek,9
contain,9
pour,9
insist,9
suggest,9
warm,9
graduate,9
escape,9
wave,9
report,9
greet,9
picture,9
entertain,9
obsess,9
float,9
heal,9
beg,9
improve,9
distract,9
practise,9
refuse,9
print,9
dare,9
flash,9
press,9
disappear,9
spread,9
split,8
accomplish,8
react,8
shape,8
display,8
skate,8
replace,8
bump,8
piss,8
recall,8
download,8
afford,8
deliver,8
doubt,8
question,8
swear,8
imitate,8
lower,8
train,8
delay,8
confuse,8
remain,8
back,8
lift,8
blend,8
spit,8
hav,8
pound,8
joke,8
attend,8
crave,8
blame,8
vomit,8
cast,8
lend,8
record,8
spin,8
contact,8
pierce,8
maintain,8
lick,8
wind,8
flip,8
express,8
cheat,8
schedule,8
tie,8
whine,8
melt,8
judge,8
wanna,8
attempt,7
occur,7
prevent,7
weigh,7
store,7
reflect,7
rid,7
house,7
bind,7
clear,7
retire,7
scratch,7
strip,7
pause,7
wander,7
suspend,7
welcome,7
ruin,7
cancel,7
defend,7
blog,7
register,7
embrace,7
affect,7
warn,7
reduce,7
defeat,7
establish,7
announce,7
fold,7
sweep,7
shift,7
experience,7
carve,7
curse,7
score,7
overcome,7
calculate,7
fry,7
bake,7
curl,7
progress,7
bang,7
contribute,7
tap,7
predict,7
revisit,7
lean,7
bat,7
puke,7
compete,7
organize,7
mail,7
swing,6
slow,6
glow,6
assemble,6
smash,6
wipe,6
relax,6
test,6
blast,6
transfer,6
present,6
list,6
dry,6
sacrifice,6
endure,6
grill,6
pronounce,6
shave,6
grasp,6
witness,6
succeed,6
threaten,6
adore,6
accompany,6
stab,6
injure,6
shatter,6
bleed,6
choke,6
line,6
kneel,6
offend,6
observe,6
skip,6
book,6
stir,6
spoil,6
urge,6
apologise,6
perceive,6
leapfrog,6
neglect,6
investigate,6
assure,6
quit,6
cease,6
battle,6
sneak,6
aim,6
boot,6
dislike,6
bust,6
squeeze,6
moan,6
request,6
sink,6
disappoint,6
knit,6
differ,6
tee,6
induce,5
flush,5
please,5
slam,5
protect,5
represent,5
invest,5
encourage,5
surf,5
extend,5
rule,5
drown,5
combine,5
correct,5
upload,5
heat,5
jog,5
incorporate,5
lure,5
revamp,5
load,5
balance,5
translate,5
research,5
found,5
tempt,5
steam,5
boil,5
beware,5
sport,5
challenge,5
betray,5
drift,5
await,5
satisfy,5
employ,5
gasp,5
sway,5
crap,5
starve,5
tolerate,5
damn,5
indicate,5
concede,5
earn,5
operate,5
stuff,5
insert,5
tuck,5
alter,5
slice,5
last,5
tip,5
blink,5
rescue,5
haul,5
