word,frequency
the,10643
I,8588
to,7600
and,6787
a,6329
of,4734
it,3631
that,3602
in,3544
is,2956
was,2829
my,2774
i,2716
for,2377
you,2363
's,2222
on,2005
have,1788
with,1675
this,1661
but,1602
n't,1568
me,1496
so,1487
do,1458
be,1411
at,1400
not,1313
like,1262
they,1229
as,1225
are,1215
he,1104
all,1102
up,1081
we,1063
or,1055
just,1024
about,1008
one,997
out,942
'm,914
there,902
from,872
had,847
can,837
get,822
what,799
The,748
know,734
when,711
if,707
really,684
It,678
would,675
his,671
her,667
think,666
an,654
time,654
go,629
will,628
were,623
did,619
more,613
urlLink,601
no,594
got,585
some,582
good,575
she,572
by,571
your,568
them,551
people,550
now,517
how,515
who,511
then,506
been,503
has,495
am,489
back,481
only,478
much,466
him,461
And,459
see,454
which,445
their,441
here,440
So,438
could,425
day,418
too,413
into,406
last,405
-,404
well,400
2,391
He,381
But,380
other,373
went,373
little,372
've,367
even,364
say,363
going,360
than,349
after,349
still,339
nt,335
today,329
something,326
way,324
over,323
love,322
thing,317
off,313
want,311
because,309
very,309
things,309
We,308
&,304
make,303
work,303
3,302
never,302
'll,301
pretty,300
first,298
night,297
right,296
/,296
ca,294
said,292
its,288
where,285
down,284
You,280
our,279
're,279
also,279
around,279
take,279
does,277
life,262
home,259
should,257
1,250
us,249
new,249
another,246
any,245
thought,245
'd,244
again,244
why,243
actually,238
friends,237
’s,237
being,234
week,234
before,232
need,231
next,231
This,230
n’t,228
though,227
year,227
most,225
many,225
Well,225
few,223
those,221
5,221
My,221
guess,220
while,216
place,216
They,214
A,211
these,208
through,207
always,207
look,203
feel,202
find,195
getting,195
What,192
two,191
sure,190
days,190
There,189
every,187
mean,184
come,184
made,182
years,182
long,181
school,179
friend,179
old,178
read,178
since,178
better,177
She,177
.,176
4,175
least,174
ever,173
great,173
came,172
best,171
lot,170
bad,170
world,169
man,169
',169
put,166
away,164
myself,163
wanted,161
morning,160
kind,158
enough,158
That,158
name,158
quite,158
If,157
probably,157
use,155
Then,155
left,155
doing,155
same,154
maybe,154
Oh,151
guy,151
fun,151
nice,150
house,148
call,148
end,147
done,145
stuff,143
may,143
Korean,142
having,142
help,141
job,141
took,140
someone,140
found,138
such,138
game,138
bit,138
tell,137
course,135
give,134
part,134
play,134
show,134
person,134
When,133
saw,133
In,132
times,132
anything,132
let,132
whole,131
own,129
already,129
everything,129
start,128
yes,128
seems,126
family,123
cool,123
hours,123
told,123
$,122
almost,122
Now,121
trying,120
everyone,120
Korea,120
nothing,119
started,119
without,118
kids,118
10,117
try,117
live,117
funny,117
might,116
idea,116
stop,116
nbsp,116
different,115
u,115
called,114
yet,112
class,112
book,112
anyway,112
couple,111
remember,111
big,110
hope,110
blog,110
car,110
mind,110
john,110
interesting,109
thinking,109
else,109
knew,109
tomorrow,109
each,108
far,108
looking,108
anyone,107
reading,107
face,107
talk,107
real,106
together,106
food,106
money,106
seen,106
6,106
post,106
fact,106
used,105
until,105
once,105
'cause,105
eat,104
keep,104
believe,103
makes,102
phone,102
must,102
hard,101
movie,101
girl,101
’m,101
talking,100
later,100
'coz,99
yesterday,98
happy,98
asked,97
top,97
soon,97
No,97
As,96
*,96
side,95
point,95
#,95
sometimes,95
team,94
How,94
means,94
watch,93
hate,93
room,92
free,92
leave,92
hair,92
7,91
less,91
head,91
late,91
story,91
playing,90
feeling,90
God,90
although,89
says,88
past,88
For,86
m,86
s,86
Seoul,85
men,85
sleep,85
parents,85
hot,85
eyes,85
buy,84
minutes,84
both,84
run,84
making,84
song,84
wo,83
Just,83
words,83
hit,83
along,82
goes,82
hand,82
especially,82
felt,82
ask,81
den,81
cause,80
open,80
taking,80
seem,80
ago,80
weekend,80
na,80
Do,79
country,79
music,79
gon,79
full,78
small,78
bed,78
hour,78
hear,78
wish,78
reason,77
After,77
wait,76
between,76
set,76
turn,76
months,76
write,76
pay,76
To,75
decided,75
high,75
summer,75
usually,74
early,74
Maybe,74
looked,74
walk,74
n,74
All,73
saying,73
Why,73
change,73
Here,73
watching,73
season,73
coming,72
working,72
guys,72
One,72
care,72
comes,72
happened,72
under,71
Not,71
rest,71
20,71
weeks,71
others,71
oh,71
played,71
half,70
during,70
lost,69
beach,69
either,69
able,68
second,68
gets,68
wrong,68
looks,68
kinda,68
mother,68
wonder,67
living,67
however,67
heard,67
word,67
bought,67
door,66
Koreans,66
ended,66
favorite,66
pick,66
spent,66
teams,66
bus,65
yourself,64
short,64
girls,64
true,63
sense,63
8,63
often,63
games,63
finally,63
college,63
city,63
turned,63
yeah,63
letter,63
ones,62
case,62
9,62
party,62
age,61
group,61
John,61
%,61
check,61
gave,61
walked,61
PM,61
dinner,60
three,59
rather,59
news,59
water,59
worth,58
instead,58
boy,58
women,58
pool,58
ok,58
front,58
sorry,58
close,58
walking,58
race,58
air,57
figure,57
area,57
across,57
English,57
bar,57
mine,57
stay,57
behind,57
line,57
dad,57
wanna,57
white,56
problem,56
experience,56
won,56
list,56
driving,56
teacher,56
eating,55
matter,55
store,55
movies,55
etc,55
running,55
gone,55
move,55
wife,55
perfect,55
On,55
flight,55
writing,55
H,54
order,54
note,54
number,54
drive,54
question,54
tried,54
picture,54
met,54
waiting,54
boring,54
sugarbebe827,54
easy,53
red,53
inside,53
whatever,53
alone,53
email,53
miss,53
understand,53
church,53
supposed,53
sick,53
hell,53
SmarterChild,53
site,52
except,52
sister,52
company,52
green,52
Charla,52
bomb,51
New,51
coffee,51
body,51
longer,51
lady,51
TV,51
trip,51
His,51
light,51
lunch,51
cover,50
At,50
Like,50
Anyways,50
against,50
learn,50
needed,50
mom,50
tired,50
damn,50
exactly,50
win,50
employer,50
heart,49
takes,49
seemed,49
outside,49
gay,49
Today,49
fine,49
tonight,49
cut,49
Anyway,49
w/,49
please,48
ready,48
